Metric,Value
detailedplace__design__instance__displacement__total,14657.2
detailedplace__design__instance__displacement__mean,2.31
detailedplace__design__instance__displacement__max,10.374
detailedplace__route__wirelength__estimated,324461
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.9008
detailedplace__timing__drv__max_slew_limit,0.906074
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.914616
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00109569
detailedplace__power__switching__total,8.05987e-05
detailedplace__power__leakage__total,9.19001e-07
detailedplace__power__total,0.00117721
detailedplace__design__io,45
detailedplace__design__die__area,201496
detailedplace__design__core__area,194877
detailedplace__design__instance__count,6345
detailedplace__design__instance__area,74074.7
detailedplace__design__instance__count__stdcell,6345
detailedplace__design__instance__area__stdcell,74074.7
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.380109
detailedplace__design__instance__utilization__stdcell,0.380109
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.7592
globalplace__power__internal__total,0.00108927
globalplace__power__switching__total,7.72866e-05
globalplace__power__leakage__total,7.97872e-07
globalplace__power__total,0.00116735
globalplace__design__io,45
globalplace__design__die__area,201496
globalplace__design__core__area,194877
globalplace__design__instance__count,5501
globalplace__design__instance__area,66619.3
globalplace__design__instance__count__stdcell,5501
globalplace__design__instance__area__stdcell,66619.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.341852
globalplace__design__instance__utilization__stdcell,0.341852
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.8944
placeopt__timing__drv__max_slew_limit,0.906277
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.913247
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00109568
placeopt__power__switching__total,8.07872e-05
placeopt__power__leakage__total,9.19001e-07
placeopt__power__total,0.00117739
placeopt__design__io,45
placeopt__design__die__area,201496
placeopt__design__core__area,194877
placeopt__design__instance__count,6345
placeopt__design__instance__area,74074.7
placeopt__design__instance__count__stdcell,6345
placeopt__design__instance__area__stdcell,74074.7
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.380109
placeopt__design__instance__utilization__stdcell,0.380109
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,306216
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,144
globalroute__design__violations,0
globalroute__antenna__violating__nets,9
globalroute__antenna__violating__pins,9
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,14.8454
globalroute__clock__skew__setup,0.0449545
globalroute__clock__skew__hold,0.0449545
globalroute__timing__drv__max_slew_limit,0.786707
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.750578
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,9
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00129192
globalroute__power__switching__total,0.00029502
globalroute__power__leakage__total,9.59389e-07
globalroute__power__total,0.0015879
globalroute__design__io,45
globalroute__design__die__area,201496
globalroute__design__core__area,194877
globalroute__design__instance__count,6605
globalroute__design__instance__area,76527.8
globalroute__design__instance__count__stdcell,6605
globalroute__design__instance__area__stdcell,76527.8
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.392697
globalroute__design__instance__utilization__stdcell,0.392697
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,306216
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,14.8728
cts__clock__skew__setup,0.0388216
