Metric,Value
detailedplace__design__instance__displacement__total,7390.75
detailedplace__design__instance__displacement__mean,3.721
detailedplace__design__instance__displacement__max,22.148
detailedplace__route__wirelength__estimated,36716.7
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.8279
detailedplace__timing__drv__max_slew_limit,0.922077
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.914099
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00111988
detailedplace__power__switching__total,0.000309717
detailedplace__power__leakage__total,2.88841e-07
detailedplace__power__total,0.00142988
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1986
detailedplace__design__instance__area,24601.4
detailedplace__design__instance__count__stdcell,1986
detailedplace__design__instance__area__stdcell,24601.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.808527
detailedplace__design__instance__utilization__stdcell,0.808527
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.88955
globalplace__power__internal__total,0.00110407
globalplace__power__switching__total,0.000309286
globalplace__power__leakage__total,2.6384e-07
globalplace__power__total,0.00141362
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1689
globalplace__design__instance__area,22369.7
globalplace__design__instance__count__stdcell,1689
globalplace__design__instance__area__stdcell,22369.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.735182
globalplace__design__instance__utilization__stdcell,0.735182
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.82812
placeopt__timing__drv__max_slew_limit,0.922223
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.914006
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00111968
placeopt__power__switching__total,0.000308136
placeopt__power__leakage__total,2.88841e-07
placeopt__power__total,0.0014281
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1986
placeopt__design__instance__area,24601.4
placeopt__design__instance__count__stdcell,1986
placeopt__design__instance__area__stdcell,24601.4
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.808527
placeopt__design__instance__utilization__stdcell,0.808527
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,37549.7
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,5.32583
globalroute__clock__skew__setup,0.0615261
globalroute__clock__skew__hold,0.0615261
globalroute__timing__drv__max_slew_limit,0.884133
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.773412
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00117248
globalroute__power__switching__total,0.000475776
globalroute__power__leakage__total,3.00177e-07
globalroute__power__total,0.00164856
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,2042
globalroute__design__instance__area,25145.8
globalroute__design__instance__count__stdcell,2042
globalroute__design__instance__area__stdcell,25145.8
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.826416
globalroute__design__instance__utilization__stdcell,0.826416
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,37549.7
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,5.31817
cts__clock__skew__setup,0.045299
cts__clock__skew__hold,0.045299
cts__timing__drv__max_slew_limit,0.885752
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.767947
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00116637
cts__power__switching__total,0.000382557
cts__power__leakage__total,3.00177e-07
cts__power__total,0.00154923
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,2042
cts__design__instance__area,25145.8
cts__design__instance__count__stdcell,2042
cts__design__instance__area__stdcell,25145.8
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.826416
cts__design__instance__utilization__stdcell,0.826416
cts__flow__warnings__count,11
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19994
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__worst__net:VPWR__corner:default,5.73305e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,6.64908e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,3.78427e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,6.64908e-05
finish__design__instance__count__class:fill_cell,744
finish__design__instance__count__class:other,307
finish__design__instance__count__class:buffer,99
finish__design__instance__count__class:clock_buffer,45
finish__design__instance__count__class:timing_repair_buffer,83
finish__design__instance__count__class:inverter,197
finish__design__instance__count__class:clock_inverter,13
finish__design__instance__count__class:sequential_cell,207
finish__design__instance__count__class:multi_input_combinational_cell,1398
finish__timing__setup__tns,0
finish__timing__setup__ws,5.27155
finish__clock__skew__setup,0.0599915
finish__clock__skew__hold,0.0599915
finish__timing__drv__max_slew_limit,0.871829
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.752543
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,0
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00117998
finish__power__switching__total,0.000551129
finish__power__leakage__total,5.06283e-07
finish__power__total,0.00173161
finish__design__io,45
