Metric,Value
detailedplace__design__instance__displacement__total,39622.7
detailedplace__design__instance__displacement__mean,5.346
detailedplace__design__instance__displacement__max,171.556
detailedplace__route__wirelength__estimated,201148
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.77639
detailedplace__timing__drv__max_slew_limit,0.901595
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.924614
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00301279
detailedplace__power__switching__total,0.000201428
detailedplace__power__leakage__total,1.28321e-06
detailedplace__power__total,0.00321551
detailedplace__design__io,45
detailedplace__design__die__area,134030
detailedplace__design__core__area,129036
detailedplace__design__instance__count,7411
detailedplace__design__instance__area,111290
detailedplace__design__instance__count__stdcell,7411
detailedplace__design__instance__area__stdcell,111290
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.862468
detailedplace__design__instance__utilization__stdcell,0.862468
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.88941
globalplace__power__internal__total,0.00298463
globalplace__power__switching__total,0.000188853
globalplace__power__leakage__total,1.156e-06
globalplace__power__total,0.00317463
globalplace__design__io,45
globalplace__design__die__area,134030
globalplace__design__core__area,129036
globalplace__design__instance__count,6059
globalplace__design__instance__area,100472
globalplace__design__instance__count__stdcell,6059
globalplace__design__instance__area__stdcell,100472
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.778636
globalplace__design__instance__utilization__stdcell,0.778636
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.78339
placeopt__timing__drv__max_slew_limit,0.901877
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.924485
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00301233
placeopt__power__switching__total,0.000196997
placeopt__power__leakage__total,1.28321e-06
placeopt__power__total,0.00321061
placeopt__design__io,45
placeopt__design__die__area,134030
placeopt__design__core__area,129036
placeopt__design__instance__count,7411
placeopt__design__instance__area,111290
placeopt__design__instance__count__stdcell,7411
placeopt__design__instance__area__stdcell,111290
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.862468
placeopt__design__instance__utilization__stdcell,0.862468
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,228792
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,61
globalroute__design__violations,0
globalroute__antenna__violating__nets,8
globalroute__antenna__violating__pins,8
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,6.2112
globalroute__clock__skew__setup,0.15564
globalroute__clock__skew__hold,0.15564
globalroute__timing__drv__max_slew_limit,0.772042
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.719645
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,3
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00337048
globalroute__power__switching__total,0.000778945
globalroute__power__leakage__total,1.35369e-06
globalroute__power__total,0.00415078
globalroute__design__io,45
globalroute__design__die__area,134030
globalroute__design__core__area,129036
globalroute__design__instance__count,7689
globalroute__design__instance__area,114637
globalroute__design__instance__count__stdcell,7689
globalroute__design__instance__area__stdcell,114637
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.888411
globalroute__design__instance__utilization__stdcell,0.888411
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,228792
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,6.49791
cts__clock__skew__setup,0.187379
cts__clock__skew__hold,0.187379
cts__timing__drv__max_slew_limit,0.811463
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.912299
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00335532
cts__power__switching__total,0.000563401
cts__power__leakage__total,1.35342e-06
cts__power__total,0.00392007
cts__design__io,45
cts__design__die__area,134030
cts__design__core__area,129036
cts__design__instance__count,7628
cts__design__instance__area,114305
cts__design__instance__count__stdcell,7628
cts__design__instance__area__stdcell,114305
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.885838
cts__design__instance__utilization__stdcell,0.885838
cts__flow__warnings__count,1
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19994
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19997
finish__design_powergrid__drop__worst__net:VPWR__corner:default,6.21096e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,5.09911e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,2.24036e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,5.09911e-05
finish__design__instance__count__class:fill_cell,2376
finish__design__instance__count__class:antenna_cell,61
finish__design__instance__count__class:other,697
finish__design__instance__count__class:buffer,753
finish__design__instance__count__class:clock_buffer,204
finish__design__instance__count__class:timing_repair_buffer,317
finish__design__instance__count__class:inverter,140
finish__design__instance__count__class:clock_inverter,14
finish__design__instance__count__class:sequential_cell,1036
finish__design__instance__count__class:multi_input_combinational_cell,5164
finish__timing__setup__tns,0
finish__timing__setup__ws,6.3016
finish__clock__skew__setup,0.190193
finish__clock__skew__hold,0.190193
finish__timing__drv__max_slew_limit,0.751239
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.697153
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,3
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00337643
finish__power__switching__total,0.000937778
finish__power__leakage__total,1.86596e-06
finish__power__total,0.00431608
finish__design__io,45
finish__design__die__area,134030
finish__design__core__area,129036
finish__design__instance__count,8386
finish__design__instance__area,122951
finish__design__instance__count__stdcell,8386
finish__design__instance__area__stdcell,122951
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.952839
finish__design__instance__utilization__stdcell,0.952839
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,8652
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,7982
detailedroute__route__wirelength__iter:1,262356
detailedroute__route__drc_errors__iter:2,3996
detailedroute__route__wirelength__iter:2,260497
detailedroute__route__drc_errors__iter:3,3644
detailedroute__route__wirelength__iter:3,260259
detailedroute__route__drc_errors__iter:4,484
detailedroute__route__wirelength__iter:4,258593
detailedroute__route__drc_errors__iter:5,135
detailedroute__route__wirelength__iter:5,258558
detailedroute__route__drc_errors__iter:6,40
detailedroute__route__wirelength__iter:6,258513
detailedroute__route__drc_errors__iter:7,18
detailedroute__route__wirelength__iter:7,258483
detailedroute__route__drc_errors__iter:8,2
detailedroute__route__wirelength__iter:8,258489
detailedroute__route__drc_errors__iter:9,2
detailedroute__route__wirelength__iter:9,258485
detailedroute__route__drc_errors__iter:10,2
detailedroute__route__wirelength__iter:10,258485
detailedroute__route__drc_errors__iter:11,0
detailedroute__route__wirelength__iter:11,258485
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,258485
detailedroute__route__vias,51631
detailedroute__route__vias__singlecut,51631
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,7
detailedroute__antenna__violating__pins,7
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,5.88956
floorplan__power__internal__total,0.00298338
floorplan__power__switching__total,0.00017592
floorplan__power__leakage__total,1.156e-06
floorplan__power__total,0.00316045
floorplan__design__io,43
floorplan__design__die__area,134030
floorplan__design__core__area,129036
floorplan__design__instance__count,6059
floorplan__design__instance__area,100472
floorplan__design__instance__count__stdcell,6059
floorplan__design__instance__area__stdcell,100472
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.778636
floorplan__design__instance__utilization__stdcell,0.778636
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
