Metric,Value
detailedplace__design__instance__displacement__total,2870.67
detailedplace__design__instance__displacement__mean,2.6
detailedplace__design__instance__displacement__max,11.88
detailedplace__route__wirelength__estimated,23685.5
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.9513
detailedplace__timing__drv__max_slew_limit,0.920775
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.914559
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,1
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000242731
detailedplace__power__switching__total,9.5933e-06
detailedplace__power__leakage__total,1.57375e-07
detailedplace__power__total,0.000252482
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1104
detailedplace__design__instance__area,13475.5
detailedplace__design__instance__count__stdcell,1104
detailedplace__design__instance__area__stdcell,13475.5
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.442874
detailedplace__design__instance__utilization__stdcell,0.442874
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.0163
globalplace__power__internal__total,0.000240648
globalplace__power__switching__total,8.86466e-06
globalplace__power__leakage__total,1.372e-07
globalplace__power__total,0.00024965
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,943
globalplace__design__instance__area,12015
globalplace__design__instance__count__stdcell,943
globalplace__design__instance__area__stdcell,12015
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.394872
globalplace__design__instance__utilization__stdcell,0.394872
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.9511
placeopt__timing__drv__max_slew_limit,0.920615
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.913343
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,1
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000242734
placeopt__power__switching__total,9.59184e-06
placeopt__power__leakage__total,1.57375e-07
placeopt__power__total,0.000252483
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1104
placeopt__design__instance__area,13475.5
placeopt__design__instance__count__stdcell,1104
placeopt__design__instance__area__stdcell,13475.5
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.442874
placeopt__design__instance__utilization__stdcell,0.442874
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,23056.7
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,10.7771
globalroute__clock__skew__setup,0.0215027
globalroute__clock__skew__hold,0.0215027
globalroute__timing__drv__max_slew_limit,0.870206
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.735661
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000256063
globalroute__power__switching__total,4.89548e-05
