Metric,Value
detailedplace__design__instance__displacement__total,19817.7
detailedplace__design__instance__displacement__mean,3.86
detailedplace__design__instance__displacement__max,54.251
detailedplace__route__wirelength__estimated,102760
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.6561
detailedplace__timing__drv__max_slew_limit,0.909129
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.919013
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00117465
detailedplace__power__switching__total,0.000268922
detailedplace__power__leakage__total,7.03278e-07
detailedplace__power__total,0.00144427
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,5133
detailedplace__design__instance__area,56221
detailedplace__design__instance__count__stdcell,5133
detailedplace__design__instance__area__stdcell,56221
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.889635
detailedplace__design__instance__utilization__stdcell,0.889635
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.019
globalplace__power__internal__total,0.00116875
globalplace__power__switching__total,0.000263075
globalplace__power__leakage__total,6.73196e-07
globalplace__power__total,0.0014325
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,4819
globalplace__design__instance__area,54014.7
globalplace__design__instance__count__stdcell,4819
globalplace__design__instance__area__stdcell,54014.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.854723
globalplace__design__instance__utilization__stdcell,0.854723
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.6557
placeopt__timing__drv__max_slew_limit,0.909349
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.919243
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00117457
placeopt__power__switching__total,0.00026733
placeopt__power__leakage__total,7.03278e-07
placeopt__power__total,0.0014426
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,5133
placeopt__design__instance__area,56221
placeopt__design__instance__count__stdcell,5133
placeopt__design__instance__area__stdcell,56221
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.889635
placeopt__design__instance__utilization__stdcell,0.889635
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,103096
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,10
globalroute__design__violations,0
globalroute__antenna__violating__nets,2
globalroute__antenna__violating__pins,2
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,14.4106
globalroute__clock__skew__setup,0.0488182
globalroute__clock__skew__hold,0.0488182
globalroute__timing__drv__max_slew_limit,0.79936
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.681976
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00124775
globalroute__power__switching__total,0.000493234
globalroute__power__leakage__total,7.19386e-07
globalroute__power__total,0.00174171
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,5216
globalroute__design__instance__area,57021.1
globalroute__design__instance__count__stdcell,5216
globalroute__design__instance__area__stdcell,57021.1
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.902297
globalroute__design__instance__utilization__stdcell,0.902297
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,103096
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,14.8888
cts__clock__skew__setup,0.0509005
cts__clock__skew__hold,0.0509005
cts__timing__drv__max_slew_limit,0.836172
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.664584
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00124137
cts__power__switching__total,0.000377069
cts__power__leakage__total,7.19343e-07
cts__power__total,0.00161916
cts__design__io,45
cts__design__die__area,66563.1
cts__design__core__area,63195.6
cts__design__instance__count,5206
cts__design__instance__area,56966.7
cts__design__instance__count__stdcell,5206
cts__design__instance__area__stdcell,56966.7
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.901436
cts__design__instance__utilization__stdcell,0.901436
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,3.80208e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,4.10073e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.91579e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,4.10073e-05
finish__design__instance__count__class:fill_cell,1665
finish__design__instance__count__class:antenna_cell,10
finish__design__instance__count__class:other,207
finish__design__instance__count__class:buffer,317
finish__design__instance__count__class:clock_buffer,62
finish__design__instance__count__class:timing_repair_buffer,152
finish__design__instance__count__class:inverter,611
finish__design__instance__count__class:clock_inverter,11
finish__design__instance__count__class:sequential_cell,293
finish__design__instance__count__class:multi_input_combinational_cell,3760
finish__timing__setup__tns,0
finish__timing__setup__ws,14.189
finish__clock__skew__setup,0.0739879
finish__clock__skew__hold,0.0739879
finish__timing__drv__max_slew_limit,0.826329
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.682799
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,0
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00124899
finish__power__switching__total,0.000528218
finish__power__leakage__total,8.41228e-07
finish__power__total,0.00177805
finish__design__io,45
finish__design__die__area,66563.1
finish__design__core__area,63195.6
finish__design__instance__count,5423
finish__design__instance__area,59073.2
finish__design__instance__count__stdcell,5423
finish__design__instance__area__stdcell,59073.2
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.934769
finish__design__instance__utilization__stdcell,0.934769
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,5496
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,3342
detailedroute__route__wirelength__iter:1,118230
detailedroute__route__drc_errors__iter:2,1594
detailedroute__route__wirelength__iter:2,117059
detailedroute__route__drc_errors__iter:3,1582
detailedroute__route__wirelength__iter:3,116889
detailedroute__route__drc_errors__iter:4,509
detailedroute__route__wirelength__iter:4,116254
detailedroute__route__drc_errors__iter:5,53
detailedroute__route__wirelength__iter:5,116160
detailedroute__route__drc_errors__iter:6,4
detailedroute__route__wirelength__iter:6,116156
detailedroute__route__drc_errors__iter:7,0
detailedroute__route__wirelength__iter:7,116151
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,116151
detailedroute__route__vias,31365
detailedroute__route__vias__singlecut,31365
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,1
detailedroute__antenna__violating__pins,1
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,15.0803
floorplan__power__internal__total,0.00116772
floorplan__power__switching__total,0.000252655
floorplan__power__leakage__total,6.73196e-07
floorplan__power__total,0.00142105
floorplan__design__io,43
floorplan__design__die__area,66563.1
floorplan__design__core__area,63195.6
floorplan__design__instance__count,4819
floorplan__design__instance__area,54014.7
floorplan__design__instance__count__stdcell,4819
floorplan__design__instance__area__stdcell,54014.7
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.854723
floorplan__design__instance__utilization__stdcell,0.854723
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
