Metric,Value
detailedplace__design__instance__displacement__total,61414.3
detailedplace__design__instance__displacement__mean,3.563
detailedplace__design__instance__displacement__max,19.126
detailedplace__route__wirelength__estimated,440980
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,2.41493
detailedplace__timing__drv__max_slew_limit,0.912003
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.926575
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.110703
detailedplace__power__switching__total,0.0941403
detailedplace__power__leakage__total,2.62657e-06
detailedplace__power__total,0.204846
detailedplace__design__io,45
detailedplace__design__die__area,268963
detailedplace__design__core__area,260718
detailedplace__design__instance__count,17233
detailedplace__design__instance__area,218906
detailedplace__design__instance__count__stdcell,17233
detailedplace__design__instance__area__stdcell,218906
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.839624
detailedplace__design__instance__utilization__stdcell,0.839624
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,2.51201
globalplace__power__internal__total,0.113707
globalplace__power__switching__total,0.0943238
globalplace__power__leakage__total,2.38986e-06
globalplace__power__total,0.208033
globalplace__design__io,45
globalplace__design__die__area,268963
globalplace__design__core__area,260718
globalplace__design__instance__count,15034
globalplace__design__instance__area,200972
globalplace__design__instance__count__stdcell,15034
globalplace__design__instance__area__stdcell,200972
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.770839
globalplace__design__instance__utilization__stdcell,0.770839
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
