Metric,Value
detailedplace__design__instance__displacement__total,6878.75
detailedplace__design__instance__displacement__mean,3.095
detailedplace__design__instance__displacement__max,25.811
detailedplace__route__wirelength__estimated,42712
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,12.7194
detailedplace__timing__drv__max_slew_limit,0.91878
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.929819
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000506818
detailedplace__power__switching__total,0.000180092
detailedplace__power__leakage__total,3.05597e-07
detailedplace__power__total,0.000687216
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,2222
detailedplace__design__instance__area,24267.6
detailedplace__design__instance__count__stdcell,2222
detailedplace__design__instance__area__stdcell,24267.6
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.797555
detailedplace__design__instance__utilization__stdcell,0.797555
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,13.0404
globalplace__power__internal__total,0.00050245
globalplace__power__switching__total,0.000184985
globalplace__power__leakage__total,2.99328e-07
globalplace__power__total,0.000687735
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,2009
globalplace__design__instance__area,23188
globalplace__design__instance__count__stdcell,2009
globalplace__design__instance__area__stdcell,23188
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.762075
globalplace__design__instance__utilization__stdcell,0.762075
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,12.7255
placeopt__timing__drv__max_slew_limit,0.91898
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.929998
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00050681
placeopt__power__switching__total,0.000179703
placeopt__power__leakage__total,3.05597e-07
placeopt__power__total,0.000686818
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,2222
placeopt__design__instance__area,24267.6
placeopt__design__instance__count__stdcell,2222
placeopt__design__instance__area__stdcell,24267.6
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.797555
placeopt__design__instance__utilization__stdcell,0.797555
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,42254.2
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.7647
globalroute__clock__skew__setup,0.0298642
globalroute__clock__skew__hold,0.0298642
globalroute__timing__drv__max_slew_limit,0.876128
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.747929
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000537976
globalroute__power__switching__total,0.000283966
globalroute__power__leakage__total,3.12142e-07
globalroute__power__total,0.000822255
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,2271
globalroute__design__instance__area,24652.3
globalroute__design__instance__count__stdcell,2271
globalroute__design__instance__area__stdcell,24652.3
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.810197
globalroute__design__instance__utilization__stdcell,0.810197
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,42254.2
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,12.0891
cts__clock__skew__setup,0.00952716
cts__clock__skew__hold,0.00952716
cts__timing__drv__max_slew_limit,0.837027
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.666352
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000537146
cts__power__switching__total,0.000228707
cts__power__leakage__total,3.12142e-07
cts__power__total,0.000766165
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,2271
cts__design__instance__area,24652.3
cts__design__instance__count__stdcell,2271
cts__design__instance__area__stdcell,24652.3
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.810197
cts__design__instance__utilization__stdcell,0.810197
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,3.92092e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,4.42048e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.92658e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,4.42048e-05
finish__design__instance__count__class:fill_cell,1038
finish__design__instance__count__class:other,312
finish__design__instance__count__class:buffer,142
finish__design__instance__count__class:clock_buffer,49
finish__design__instance__count__class:timing_repair_buffer,77
finish__design__instance__count__class:inverter,247
finish__design__instance__count__class:sequential_cell,128
finish__design__instance__count__class:multi_input_combinational_cell,1628
finish__timing__setup__tns,0
finish__timing__setup__ws,11.4293
finish__clock__skew__setup,0.0474489
finish__clock__skew__hold,0.0474489
finish__timing__drv__max_slew_limit,0.817515
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.626851
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000538465
finish__power__switching__total,0.000330628
finish__power__leakage__total,4.97675e-07
finish__power__total,0.000869591
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2583
finish__design__instance__area,27771.2
finish__design__instance__count__stdcell,2583
finish__design__instance__area__stdcell,27771.2
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.912701
finish__design__instance__utilization__stdcell,0.912701
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,2418
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,1717
detailedroute__route__wirelength__iter:1,48715
detailedroute__route__drc_errors__iter:2,1090
detailedroute__route__wirelength__iter:2,48288
detailedroute__route__drc_errors__iter:3,926
detailedroute__route__wirelength__iter:3,48189
detailedroute__route__drc_errors__iter:4,244
detailedroute__route__wirelength__iter:4,47761
detailedroute__route__drc_errors__iter:5,41
detailedroute__route__wirelength__iter:5,47754
detailedroute__route__drc_errors__iter:6,14
detailedroute__route__wirelength__iter:6,47732
detailedroute__route__drc_errors__iter:7,5
detailedroute__route__wirelength__iter:7,47731
detailedroute__route__drc_errors__iter:8,1
detailedroute__route__wirelength__iter:8,47733
detailedroute__route__drc_errors__iter:9,1
detailedroute__route__wirelength__iter:9,47747
detailedroute__route__drc_errors__iter:10,0
detailedroute__route__wirelength__iter:10,47739
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,47739
detailedroute__route__vias,13398
detailedroute__route__vias__singlecut,13398
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,1
detailedroute__antenna__violating__pins,1
detailedroute__flow__warnings__count,10
