Metric,Value
detailedplace__design__instance__displacement__total,5014.55
detailedplace__design__instance__displacement__mean,2.873
detailedplace__design__instance__displacement__max,15.66
detailedplace__route__wirelength__estimated,51927.5
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.0668
detailedplace__timing__drv__max_slew_limit,0.912362
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.92146
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000401529
detailedplace__power__switching__total,1.97899e-05
detailedplace__power__leakage__total,2.95025e-07
detailedplace__power__total,0.000421614
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1745
detailedplace__design__instance__area,22433.2
detailedplace__design__instance__count__stdcell,1745
detailedplace__design__instance__area__stdcell,22433.2
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.737269
detailedplace__design__instance__utilization__stdcell,0.737269
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.9534
globalplace__power__internal__total,0.000398636
globalplace__power__switching__total,1.55187e-05
globalplace__power__leakage__total,2.71677e-07
globalplace__power__total,0.000414426
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1577
globalplace__design__instance__area,21092.4
globalplace__design__instance__count__stdcell,1577
globalplace__design__instance__area__stdcell,21092.4
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.693202
globalplace__design__instance__utilization__stdcell,0.693202
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.0664
placeopt__timing__drv__max_slew_limit,0.912489
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.920833
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000401526
placeopt__power__switching__total,1.97401e-05
placeopt__power__leakage__total,2.95025e-07
placeopt__power__total,0.000421561
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1745
placeopt__design__instance__area,22433.2
placeopt__design__instance__count__stdcell,1745
placeopt__design__instance__area__stdcell,22433.2
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.737269
placeopt__design__instance__utilization__stdcell,0.737269
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,50940
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
