Metric,Value
detailedplace__design__instance__displacement__total,9456.28
detailedplace__design__instance__displacement__mean,5.324
detailedplace__design__instance__displacement__max,43.264
detailedplace__route__wirelength__estimated,46052
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.8932
detailedplace__timing__drv__max_slew_limit,0.876772
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.911534
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000707365
detailedplace__power__switching__total,3.43055e-05
detailedplace__power__leakage__total,3.30502e-07
detailedplace__power__total,0.000742001
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1776
detailedplace__design__instance__area,26432.2
detailedplace__design__instance__count__stdcell,1776
detailedplace__design__instance__area__stdcell,26432.2
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.868694
detailedplace__design__instance__utilization__stdcell,0.868694
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.9528
globalplace__power__internal__total,0.000700867
globalplace__power__switching__total,2.63561e-05
globalplace__power__leakage__total,3.02181e-07
globalplace__power__total,0.000727525
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1619
globalplace__design__instance__area,24942.6
globalplace__design__instance__count__stdcell,1619
globalplace__design__instance__area__stdcell,24942.6
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.819738
globalplace__design__instance__utilization__stdcell,0.819738
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.8953
placeopt__timing__drv__max_slew_limit,0.87629
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.912064
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000707293
placeopt__power__switching__total,3.39992e-05
placeopt__power__leakage__total,3.30502e-07
placeopt__power__total,0.000741623
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1776
placeopt__design__instance__area,26432.2
placeopt__design__instance__count__stdcell,1776
placeopt__design__instance__area__stdcell,26432.2
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.868694
placeopt__design__instance__utilization__stdcell,0.868694
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,47648.4
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.8655
globalroute__clock__skew__setup,0.0447026
globalroute__clock__skew__hold,0.0447026
globalroute__timing__drv__max_slew_limit,0.859574
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.807073
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000741596
globalroute__power__switching__total,0.000129552
globalroute__power__leakage__total,3.39571e-07
globalroute__power__total,0.000871488
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1824
globalroute__design__instance__area,26878.5
globalroute__design__instance__count__stdcell,1824
globalroute__design__instance__area__stdcell,26878.5
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.883363
globalroute__design__instance__utilization__stdcell,0.883363
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,47648.4
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.8885
cts__clock__skew__setup,0.0265609
cts__clock__skew__hold,0.0265609
cts__timing__drv__max_slew_limit,0.876768
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.794595
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000741471
cts__power__switching__total,0.000108926
cts__power__leakage__total,3.39571e-07
cts__power__total,0.000850737
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1824
cts__design__instance__area,26878.5
cts__design__instance__count__stdcell,1824
cts__design__instance__area__stdcell,26878.5
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.883363
cts__design__instance__utilization__stdcell,0.883363
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,3.99263e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,4.73797e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.85609e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,4.73797e-05
finish__design__instance__count__class:fill_cell,616
finish__design__instance__count__class:other,175
finish__design__instance__count__class:buffer,165
finish__design__instance__count__class:clock_buffer,43
finish__design__instance__count__class:timing_repair_buffer,151
finish__design__instance__count__class:inverter,70
finish__design__instance__count__class:clock_inverter,5
finish__design__instance__count__class:sequential_cell,228
finish__design__instance__count__class:multi_input_combinational_cell,1162
finish__timing__setup__tns,0
finish__timing__setup__ws,11.7414
finish__clock__skew__setup,0.0373133
finish__clock__skew__hold,0.0373133
finish__timing__drv__max_slew_limit,0.839519
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.775348
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,0
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000742429
finish__power__switching__total,0.000149809
finish__power__leakage__total,4.61811e-07
finish__power__total,0.0008927
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,1999
finish__design__instance__area,28878
finish__design__instance__count__stdcell,1999
finish__design__instance__area__stdcell,28878
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.949076
finish__design__instance__utilization__stdcell,0.949076
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,2063
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,1553
detailedroute__route__wirelength__iter:1,56185
detailedroute__route__drc_errors__iter:2,1046
detailedroute__route__wirelength__iter:2,55784
detailedroute__route__drc_errors__iter:3,934
detailedroute__route__wirelength__iter:3,55546
detailedroute__route__drc_errors__iter:4,147
detailedroute__route__wirelength__iter:4,55098
detailedroute__route__drc_errors__iter:5,15
detailedroute__route__wirelength__iter:5,55135
detailedroute__route__drc_errors__iter:6,0
detailedroute__route__wirelength__iter:6,55111
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,55111
detailedroute__route__vias,13189
detailedroute__route__vias__singlecut,13189
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,11.9572
floorplan__power__internal__total,0.000700556
floorplan__power__switching__total,2.52557e-05
floorplan__power__leakage__total,3.02181e-07
floorplan__power__total,0.000726114
floorplan__design__io,43
floorplan__design__die__area,32880.6
floorplan__design__core__area,30427.5
floorplan__design__instance__count,1619
floorplan__design__instance__area,24942.6
floorplan__design__instance__count__stdcell,1619
floorplan__design__instance__area__stdcell,24942.6
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.819738
floorplan__design__instance__utilization__stdcell,0.819738
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
