Metric,Value
detailedplace__design__instance__displacement__total,29059.4
detailedplace__design__instance__displacement__mean,4.11
detailedplace__design__instance__displacement__max,15.393
detailedplace__route__wirelength__estimated,230582
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.1551
detailedplace__timing__drv__max_slew_limit,0.910839
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.915915
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00332036
detailedplace__power__switching__total,3.27311e-05
detailedplace__power__leakage__total,1.46547e-06
detailedplace__power__total,0.00335456
detailedplace__design__io,45
detailedplace__design__die__area,201496
detailedplace__design__core__area,194877
detailedplace__design__instance__count,7070
detailedplace__design__instance__area,132056
detailedplace__design__instance__count__stdcell,7070
detailedplace__design__instance__area__stdcell,132056
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.677634
detailedplace__design__instance__utilization__stdcell,0.677634
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.0132
globalplace__power__internal__total,0.00331433
globalplace__power__switching__total,3.06071e-05
globalplace__power__leakage__total,1.28313e-06
globalplace__power__total,0.00334622
globalplace__design__io,45
globalplace__design__die__area,201496
globalplace__design__core__area,194877
globalplace__design__instance__count,5425
globalplace__design__instance__area,118341
globalplace__design__instance__count__stdcell,5425
globalplace__design__instance__area__stdcell,118341
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.607257
globalplace__design__instance__utilization__stdcell,0.607257
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.1555
placeopt__timing__drv__max_slew_limit,0.907632
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.915547
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00332036
placeopt__power__switching__total,3.27378e-05
placeopt__power__leakage__total,1.46547e-06
placeopt__power__total,0.00335456
placeopt__design__io,45
placeopt__design__die__area,201496
placeopt__design__core__area,194877
placeopt__design__instance__count,7070
placeopt__design__instance__area,132056
placeopt__design__instance__count__stdcell,7070
placeopt__design__instance__area__stdcell,132056
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.677634
placeopt__design__instance__utilization__stdcell,0.677634
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
