Metric,Value
detailedplace__design__instance__displacement__total,2952.46
detailedplace__design__instance__displacement__mean,2.536
detailedplace__design__instance__displacement__max,11.548
detailedplace__route__wirelength__estimated,21551.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.1069
detailedplace__timing__drv__max_slew_limit,0.916133
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.924954
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000449164
detailedplace__power__switching__total,4.4394e-06
detailedplace__power__leakage__total,2.10031e-07
detailedplace__power__total,0.000453813
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1164
detailedplace__design__instance__area,17795.6
detailedplace__design__instance__count__stdcell,1164
detailedplace__design__instance__area__stdcell,17795.6
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.584854
detailedplace__design__instance__utilization__stdcell,0.584854
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.3569
globalplace__power__internal__total,0.000447145
globalplace__power__switching__total,0
globalplace__power__leakage__total,1.93771e-07
globalplace__power__total,0.000447339
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1083
globalplace__design__instance__area,16981
globalplace__design__instance__count__stdcell,1083
globalplace__design__instance__area__stdcell,16981
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.55808
globalplace__design__instance__utilization__stdcell,0.55808
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.1077
placeopt__timing__drv__max_slew_limit,0.916416
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.925294
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000449163
placeopt__power__switching__total,4.45179e-06
placeopt__power__leakage__total,2.10031e-07
placeopt__power__total,0.000453825
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1164
placeopt__design__instance__area,17795.6
placeopt__design__instance__count__stdcell,1164
placeopt__design__instance__area__stdcell,17795.6
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.584854
placeopt__design__instance__utilization__stdcell,0.584854
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,22406.7
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,13.3687
globalroute__clock__skew__setup,0.0389912
globalroute__clock__skew__hold,0.0389912
globalroute__timing__drv__max_slew_limit,0.878558
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.753027
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000473497
globalroute__power__switching__total,7.44668e-05
globalroute__power__leakage__total,2.16954e-07
globalroute__power__total,0.000548181
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1219
globalroute__design__instance__area,18212.9
globalroute__design__instance__count__stdcell,1219
globalroute__design__instance__area__stdcell,18212.9
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.598569
globalroute__design__instance__utilization__stdcell,0.598569
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,22406.7
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,13.4409
cts__clock__skew__setup,0.0132787
cts__clock__skew__hold,0.0132787
cts__timing__drv__max_slew_limit,0.828234
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.648021
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000476163
cts__power__switching__total,6.32684e-05
cts__power__leakage__total,2.16954e-07
cts__power__total,0.000539649
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1219
cts__design__instance__area,18212.9
cts__design__instance__count__stdcell,1219
cts__design__instance__area__stdcell,18212.9
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.598569
cts__design__instance__utilization__stdcell,0.598569
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,1.88763e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,2.29801e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.21133e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,2.29801e-05
finish__design__instance__count__class:fill_cell,618
finish__design__instance__count__class:other,920
finish__design__instance__count__class:buffer,99
finish__design__instance__count__class:clock_buffer,49
finish__design__instance__count__class:timing_repair_buffer,68
finish__design__instance__count__class:inverter,46
finish__design__instance__count__class:clock_inverter,6
finish__design__instance__count__class:sequential_cell,166
finish__design__instance__count__class:multi_input_combinational_cell,785
finish__timing__setup__tns,0
finish__timing__setup__ws,13.2382
finish__clock__skew__setup,0.0389432
finish__clock__skew__hold,0.0389432
finish__timing__drv__max_slew_limit,0.832911
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.65727
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000473809
finish__power__switching__total,7.79944e-05
finish__power__leakage__total,8.65735e-07
