Metric,Value
detailedplace__design__instance__displacement__total,10328.6
detailedplace__design__instance__displacement__mean,3.036
detailedplace__design__instance__displacement__max,11.211
detailedplace__route__wirelength__estimated,101926
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.852
detailedplace__timing__drv__max_slew_limit,0.91404
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.913949
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00024003
detailedplace__power__switching__total,2.1395e-05
detailedplace__power__leakage__total,4.67743e-07
detailedplace__power__total,0.000261892
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,3402
detailedplace__design__instance__area,35473.3
detailedplace__design__instance__count__stdcell,3402
detailedplace__design__instance__area__stdcell,35473.3
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.561326
detailedplace__design__instance__utilization__stdcell,0.561326
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.0317
globalplace__power__internal__total,0.00023705
globalplace__power__switching__total,1.91325e-05
globalplace__power__leakage__total,4.24214e-07
globalplace__power__total,0.000256607
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,3114
globalplace__design__instance__area,32913.2
globalplace__design__instance__count__stdcell,3114
globalplace__design__instance__area__stdcell,32913.2
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.520815
globalplace__design__instance__utilization__stdcell,0.520815
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.8537
placeopt__timing__drv__max_slew_limit,0.914184
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.913687
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00024002
placeopt__power__switching__total,2.13427e-05
placeopt__power__leakage__total,4.67743e-07
placeopt__power__total,0.000261831
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,3402
placeopt__design__instance__area,35473.3
placeopt__design__instance__count__stdcell,3402
placeopt__design__instance__area__stdcell,35473.3
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.561326
placeopt__design__instance__utilization__stdcell,0.561326
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,96902.1
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,16
globalroute__design__violations,0
globalroute__antenna__violating__nets,3
globalroute__antenna__violating__pins,3
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,10.4744
globalroute__clock__skew__setup,0.043082
globalroute__clock__skew__hold,0.043082
globalroute__timing__drv__max_slew_limit,0.72988
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.701393
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000254127
globalroute__power__switching__total,6.8067e-05
globalroute__power__leakage__total,4.71331e-07
globalroute__power__total,0.000322665
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,3443
globalroute__design__instance__area,35756.4
globalroute__design__instance__count__stdcell,3443
globalroute__design__instance__area__stdcell,35756.4
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.565805
globalroute__design__instance__utilization__stdcell,0.565805
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,96902.1
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,10.8518
cts__clock__skew__setup,0.00449724
cts__clock__skew__hold,0.00449724
cts__timing__drv__max_slew_limit,0.841036
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.674748
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000254699
cts__power__switching__total,4.71409e-05
cts__power__leakage__total,4.71262e-07
cts__power__total,0.000302311
cts__design__io,45
cts__design__die__area,66563.1
cts__design__core__area,63195.6
cts__design__instance__count,3427
cts__design__instance__area,35669.3
cts__design__instance__count__stdcell,3427
cts__design__instance__area__stdcell,35669.3
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.564427
cts__design__instance__utilization__stdcell,0.564427
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.2
finish__design_powergrid__drop__worst__net:VPWR__corner:default,1.4015e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,1.49902e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,3.40714e-06
finish__design_powergrid__drop__worst__net:VGND__corner:default,1.49902e-05
finish__design__instance__count__class:fill_cell,1768
finish__design__instance__count__class:antenna_cell,16
finish__design__instance__count__class:other,2003
finish__design__instance__count__class:buffer,480
finish__design__instance__count__class:clock_buffer,17
finish__design__instance__count__class:timing_repair_buffer,253
finish__design__instance__count__class:inverter,59
