Metric,Value
detailedplace__design__instance__displacement__total,2467.97
detailedplace__design__instance__displacement__mean,2.7
detailedplace__design__instance__displacement__max,10.105
detailedplace__route__wirelength__estimated,15523.1
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.84396
detailedplace__timing__drv__max_slew_limit,0.908382
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.905886
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00037831
detailedplace__power__switching__total,4.48776e-05
detailedplace__power__leakage__total,1.42414e-07
detailedplace__power__total,0.00042333
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,914
detailedplace__design__instance__area,12818.7
detailedplace__design__instance__count__stdcell,914
detailedplace__design__instance__area__stdcell,12818.7
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.421288
detailedplace__design__instance__utilization__stdcell,0.421288
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.89379
globalplace__power__internal__total,0.000371157
globalplace__power__switching__total,4.22095e-05
globalplace__power__leakage__total,1.27212e-07
globalplace__power__total,0.000413493
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,738
globalplace__design__instance__area,11430.7
globalplace__design__instance__count__stdcell,738
globalplace__design__instance__area__stdcell,11430.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.375671
globalplace__design__instance__utilization__stdcell,0.375671
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.8408
placeopt__timing__drv__max_slew_limit,0.911982
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.904856
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000378295
placeopt__power__switching__total,4.48813e-05
placeopt__power__leakage__total,1.42414e-07
placeopt__power__total,0.000423318
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,914
placeopt__design__instance__area,12818.7
placeopt__design__instance__count__stdcell,914
placeopt__design__instance__area__stdcell,12818.7
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.421288
placeopt__design__instance__utilization__stdcell,0.421288
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,16622.8
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,5.39472
globalroute__clock__skew__setup,0.0429604
globalroute__clock__skew__hold,0.0429604
globalroute__timing__drv__max_slew_limit,0.873632
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.7773
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000409072
globalroute__power__switching__total,0.00010692
globalroute__power__leakage__total,1.49652e-07
globalroute__power__total,0.000516142
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,974
globalroute__design__instance__area,13263.3
globalroute__design__instance__count__stdcell,974
globalroute__design__instance__area__stdcell,13263.3
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.435897
globalroute__design__instance__utilization__stdcell,0.435897
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,16622.8
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,5.31773
cts__clock__skew__setup,0.00958567
cts__clock__skew__hold,0.00958567
cts__timing__drv__max_slew_limit,0.845315
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.683633
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
