Metric,Value
detailedplace__design__instance__displacement__total,231.408
detailedplace__design__instance__displacement__mean,3.922
detailedplace__design__instance__displacement__max,12
detailedplace__route__wirelength__estimated,1131.57
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.6778
detailedplace__timing__drv__max_slew_limit,0.968708
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.944831
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,1.46179e-05
detailedplace__power__switching__total,4.68123e-07
detailedplace__power__leakage__total,1.17042e-08
detailedplace__power__total,1.50977e-05
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,59
detailedplace__design__instance__area,981.59
detailedplace__design__instance__count__stdcell,59
detailedplace__design__instance__area__stdcell,981.59
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.03226
detailedplace__design__instance__utilization__stdcell,0.03226
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.7577
globalplace__power__internal__total,1.43705e-05
globalplace__power__switching__total,9.60371e-09
globalplace__power__leakage__total,8.79727e-09
globalplace__power__total,1.43889e-05
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,32
globalplace__design__instance__area,774.749
globalplace__design__instance__count__stdcell,32
globalplace__design__instance__area__stdcell,774.749
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.0254621
globalplace__design__instance__utilization__stdcell,0.0254621
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.6776
placeopt__timing__drv__max_slew_limit,0.969269
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.946098
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,1.46182e-05
placeopt__power__switching__total,4.65403e-07
placeopt__power__leakage__total,1.17042e-08
placeopt__power__total,1.50953e-05
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,59
placeopt__design__instance__area,981.59
placeopt__design__instance__count__stdcell,59
placeopt__design__instance__area__stdcell,981.59
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.03226
placeopt__design__instance__utilization__stdcell,0.03226
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,1070.05
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,15.506
globalroute__clock__skew__setup,0.00123115
globalroute__clock__skew__hold,0.00123115
globalroute__timing__drv__max_slew_limit,0.962816
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.929941
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
