Metric,Value
detailedplace__design__instance__displacement__total,362.447
detailedplace__design__instance__displacement__mean,3.355
detailedplace__design__instance__displacement__max,12
detailedplace__route__wirelength__estimated,2586.72
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.2826
detailedplace__timing__drv__max_slew_limit,0.956165
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.919197
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,5.75095e-05
detailedplace__power__switching__total,6.45736e-06
detailedplace__power__leakage__total,1.95505e-08
detailedplace__power__total,6.39864e-05
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,108
detailedplace__design__instance__area,1487.81
detailedplace__design__instance__count__stdcell,108
detailedplace__design__instance__area__stdcell,1487.81
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.0488968
detailedplace__design__instance__utilization__stdcell,0.0488968
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.4498
globalplace__power__internal__total,5.45662e-05
globalplace__power__switching__total,5.18359e-06
globalplace__power__leakage__total,1.46432e-08
globalplace__power__total,5.97645e-05
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,62
globalplace__design__instance__area,1159.4
globalplace__design__instance__count__stdcell,62
globalplace__design__instance__area__stdcell,1159.4
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.0381038
globalplace__design__instance__utilization__stdcell,0.0381038
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.2854
placeopt__timing__drv__max_slew_limit,0.956709
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.92054
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,5.74751e-05
placeopt__power__switching__total,6.42425e-06
placeopt__power__leakage__total,1.95505e-08
placeopt__power__total,6.39189e-05
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,108
placeopt__design__instance__area,1487.81
placeopt__design__instance__count__stdcell,108
placeopt__design__instance__area__stdcell,1487.81
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.0488968
placeopt__design__instance__utilization__stdcell,0.0488968
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,2509.62
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.2492
