Metric,Value
detailedplace__design__instance__displacement__total,5771.96
detailedplace__design__instance__displacement__mean,2.867
detailedplace__design__instance__displacement__max,12.582
detailedplace__route__wirelength__estimated,50806.1
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.57883
detailedplace__timing__drv__max_slew_limit,0.916813
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.920718
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000259877
detailedplace__power__switching__total,0.000136505
detailedplace__power__leakage__total,2.82595e-07
detailedplace__power__total,0.000396665
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,2013
detailedplace__design__instance__area,21134.1
detailedplace__design__instance__count__stdcell,2013
detailedplace__design__instance__area__stdcell,21134.1
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.694574
detailedplace__design__instance__utilization__stdcell,0.694574
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.84313
globalplace__power__internal__total,0.000255676
globalplace__power__switching__total,0.000134
globalplace__power__leakage__total,2.60192e-07
globalplace__power__total,0.000389936
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1848
globalplace__design__instance__area,19746.1
globalplace__design__instance__count__stdcell,1848
globalplace__design__instance__area__stdcell,19746.1
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.648956
globalplace__design__instance__utilization__stdcell,0.648956
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.57805
placeopt__timing__drv__max_slew_limit,0.916944
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.921652
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00025986
placeopt__power__switching__total,0.000136173
placeopt__power__leakage__total,2.82595e-07
placeopt__power__total,0.000396315
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,2013
placeopt__design__instance__area,21134.1
placeopt__design__instance__count__stdcell,2013
placeopt__design__instance__area__stdcell,21134.1
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.694574
placeopt__design__instance__utilization__stdcell,0.694574
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,47318.9
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,5.80815
globalroute__clock__skew__setup,0.454749
globalroute__clock__skew__hold,0.454749
globalroute__timing__drv__max_slew_limit,0.883725
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.868789
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000262663
globalroute__power__switching__total,0.000182079
globalroute__power__leakage__total,2.83273e-07
globalroute__power__total,0.000445026
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,2020
globalroute__design__instance__area,21181.3
globalroute__design__instance__count__stdcell,2020
globalroute__design__instance__area__stdcell,21181.3
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.696124
globalroute__design__instance__utilization__stdcell,0.696124
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,47318.9
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,5.83444
cts__clock__skew__setup,0.413564
cts__clock__skew__hold,0.413564
cts__timing__drv__max_slew_limit,0.916826
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.919654
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000262041
cts__power__switching__total,0.000142843
cts__power__leakage__total,2.83273e-07
cts__power__total,0.000405167
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,2020
cts__design__instance__area,21181.3
cts__design__instance__count__stdcell,2020
cts__design__instance__area__stdcell,21181.3
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.696124
cts__design__instance__utilization__stdcell,0.696124
cts__flow__warnings__count,1
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19997
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,2.83888e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,2.9916e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.05612e-05
