Metric,Value
detailedplace__design__instance__displacement__total,209.938
detailedplace__design__instance__displacement__mean,2.915
detailedplace__design__instance__displacement__max,8.624
detailedplace__route__wirelength__estimated,1064.81
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.7074
detailedplace__timing__drv__max_slew_limit,0.978293
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.968697
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,1.42672e-06
detailedplace__power__switching__total,1.84481e-08
detailedplace__power__leakage__total,1.43408e-08
detailedplace__power__total,1.4595e-06
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,72
detailedplace__design__instance__area,1157.59
detailedplace__design__instance__count__stdcell,72
detailedplace__design__instance__area__stdcell,1157.59
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.0380441
detailedplace__design__instance__utilization__stdcell,0.0380441
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.8175
globalplace__power__internal__total,1.36881e-06
globalplace__power__switching__total,0
globalplace__power__leakage__total,1.18895e-08
globalplace__power__total,1.3807e-06
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,47
globalplace__design__instance__area,976.147
globalplace__design__instance__count__stdcell,47
globalplace__design__instance__area__stdcell,976.147
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.0320811
globalplace__design__instance__utilization__stdcell,0.0320811
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.7061
placeopt__timing__drv__max_slew_limit,0.978393
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.968926
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,1.42674e-06
placeopt__power__switching__total,1.95006e-08
placeopt__power__leakage__total,1.43408e-08
placeopt__power__total,1.46058e-06
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,72
placeopt__design__instance__area,1157.59
placeopt__design__instance__count__stdcell,72
placeopt__design__instance__area__stdcell,1157.59
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.0380441
