Metric,Value
detailedplace__design__instance__displacement__total,3408.23
detailedplace__design__instance__displacement__mean,2.564
detailedplace__design__instance__displacement__max,8.834
detailedplace__route__wirelength__estimated,38200
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.4954
detailedplace__timing__drv__max_slew_limit,0.895197
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.91218
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00123916
detailedplace__power__switching__total,0.00062025
detailedplace__power__leakage__total,2.23216e-07
detailedplace__power__total,0.00185963
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1329
detailedplace__design__instance__area,17253.1
detailedplace__design__instance__count__stdcell,1329
detailedplace__design__instance__area__stdcell,17253.1
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.567024
detailedplace__design__instance__utilization__stdcell,0.567024
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.79527
globalplace__power__internal__total,0.00118667
globalplace__power__switching__total,0.000594619
globalplace__power__leakage__total,2.01298e-07
globalplace__power__total,0.00178149
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1218
globalplace__design__instance__area,16099.2
globalplace__design__instance__count__stdcell,1218
globalplace__design__instance__area__stdcell,16099.2
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.5291
globalplace__design__instance__utilization__stdcell,0.5291
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.492
placeopt__timing__drv__max_slew_limit,0.895005
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.91228
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00123903
placeopt__power__switching__total,0.000620472
placeopt__power__leakage__total,2.23216e-07
placeopt__power__total,0.00185973
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1329
placeopt__design__instance__area,17253.1
placeopt__design__instance__count__stdcell,1329
placeopt__design__instance__area__stdcell,17253.1
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.567024
placeopt__design__instance__utilization__stdcell,0.567024
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,37163
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,5.32131
globalroute__clock__skew__setup,0.0271438
globalroute__clock__skew__hold,0.0271438
globalroute__timing__drv__max_slew_limit,0.865931
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.769976
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00126386
globalroute__power__switching__total,0.000877929
globalroute__power__leakage__total,2.2686e-07
globalroute__power__total,0.00214202
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1356
globalroute__design__instance__area,17460
globalroute__design__instance__count__stdcell,1356
globalroute__design__instance__area__stdcell,17460
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.573822
globalroute__design__instance__utilization__stdcell,0.573822
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,37163
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,5.28065
cts__clock__skew__setup,0.0333829
cts__clock__skew__hold,0.0333829
cts__timing__drv__max_slew_limit,0.857892
