Metric,Value
detailedplace__design__instance__displacement__total,23809.1
detailedplace__design__instance__displacement__mean,4.724
detailedplace__design__instance__displacement__max,121.824
detailedplace__route__wirelength__estimated,91009.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.1748
detailedplace__timing__drv__max_slew_limit,0.915252
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.925302
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000531371
detailedplace__power__switching__total,2.09328e-06
detailedplace__power__leakage__total,6.70304e-07
detailedplace__power__total,0.000534135
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,5040
detailedplace__design__instance__area,53223.6
detailedplace__design__instance__count__stdcell,5040
detailedplace__design__instance__area__stdcell,53223.6
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.842205
detailedplace__design__instance__utilization__stdcell,0.842205
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.2461
globalplace__power__internal__total,0.000530342
globalplace__power__switching__total,4.35149e-07
globalplace__power__leakage__total,6.55695e-07
globalplace__power__total,0.000531433
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,4751
globalplace__design__instance__area,51492.7
globalplace__design__instance__count__stdcell,4751
globalplace__design__instance__area__stdcell,51492.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.814815
globalplace__design__instance__utilization__stdcell,0.814815
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.1745
placeopt__timing__drv__max_slew_limit,0.915287
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.925336
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000531372
placeopt__power__switching__total,2.08979e-06
placeopt__power__leakage__total,6.70304e-07
placeopt__power__total,0.000534132
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
