Metric,Value
detailedplace__design__instance__displacement__total,1337.28
detailedplace__design__instance__displacement__mean,2.78
detailedplace__design__instance__displacement__max,11.171
detailedplace__route__wirelength__estimated,8306.72
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.9005
detailedplace__timing__drv__max_slew_limit,0.912119
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.898228
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,1
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00014459
detailedplace__power__switching__total,4.29908e-06
detailedplace__power__leakage__total,7.41404e-08
detailedplace__power__total,0.000148963
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,481
detailedplace__design__instance__area,6370.36
detailedplace__design__instance__count__stdcell,481
detailedplace__design__instance__area__stdcell,6370.36
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.209362
detailedplace__design__instance__utilization__stdcell,0.209362
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.9564
globalplace__power__internal__total,0.000143551
globalplace__power__switching__total,3.91125e-06
globalplace__power__leakage__total,6.39227e-08
globalplace__power__total,0.000147526
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,376
globalplace__design__instance__area,5572.02
globalplace__design__instance__count__stdcell,376
globalplace__design__instance__area__stdcell,5572.02
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.183125
globalplace__design__instance__utilization__stdcell,0.183125
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.9006
placeopt__timing__drv__max_slew_limit,0.911805
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.898383
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,1
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000144587
placeopt__power__switching__total,4.28898e-06
placeopt__power__leakage__total,7.41404e-08
placeopt__power__total,0.000148951
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,481
placeopt__design__instance__area,6370.36
placeopt__design__instance__count__stdcell,481
placeopt__design__instance__area__stdcell,6370.36
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.209362
placeopt__design__instance__utilization__stdcell,0.209362
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,8369.32
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.8968
globalroute__clock__skew__setup,0.0224153
globalroute__clock__skew__hold,0.0224153
globalroute__timing__drv__max_slew_limit,0.896738
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.850184
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000146497
globalroute__power__switching__total,2.45572e-05
globalroute__power__leakage__total,7.53697e-08
globalroute__power__total,0.00017113
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,493
globalroute__design__instance__area,6453.82
globalroute__design__instance__count__stdcell,493
globalroute__design__instance__area__stdcell,6453.82
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.212105
globalroute__design__instance__utilization__stdcell,0.212105
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,8304.01
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.9005
cts__clock__skew__setup,0.00258263
cts__clock__skew__hold,0.00258263
cts__timing__drv__max_slew_limit,0.907669
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.81368
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000146525
cts__power__switching__total,2.08545e-05
cts__power__leakage__total,7.52594e-08
cts__power__total,0.000167454
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,492
cts__design__instance__area,6446.56
