Metric,Value
detailedplace__design__instance__displacement__total,55897.2
detailedplace__design__instance__displacement__mean,3.569
detailedplace__design__instance__displacement__max,17.307
detailedplace__route__wirelength__estimated,962643
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,4.71991
detailedplace__timing__drv__max_slew_limit,0.905147
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.909394
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.0114537
detailedplace__power__switching__total,0.00339725
detailedplace__power__leakage__total,3.18038e-06
detailedplace__power__total,0.0148542
detailedplace__design__io,45
detailedplace__design__die__area,403896
detailedplace__design__core__area,392400
detailedplace__design__instance__count,15661
detailedplace__design__instance__area,247704
detailedplace__design__instance__count__stdcell,15661
detailedplace__design__instance__area__stdcell,247704
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.631253
detailedplace__design__instance__utilization__stdcell,0.631253
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,4.7785
globalplace__power__internal__total,0.0111176
globalplace__power__switching__total,0.00308637
globalplace__power__leakage__total,2.93539e-06
globalplace__power__total,0.0142069
globalplace__design__io,45
globalplace__design__die__area,403896
globalplace__design__core__area,392400
globalplace__design__instance__count,13647
globalplace__design__instance__area,231837
globalplace__design__instance__count__stdcell,13647
globalplace__design__instance__area__stdcell,231837
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.590817
globalplace__design__instance__utilization__stdcell,0.590817
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,4.71727
placeopt__timing__drv__max_slew_limit,0.905044
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.909265
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.011453
placeopt__power__switching__total,0.00340136
placeopt__power__leakage__total,3.18038e-06
placeopt__power__total,0.0148575
placeopt__design__io,45
placeopt__design__die__area,403896
placeopt__design__core__area,392400
placeopt__design__instance__count,15661
placeopt__design__instance__area,247704
placeopt__design__instance__count__stdcell,15661
placeopt__design__instance__area__stdcell,247704
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.631253
placeopt__design__instance__utilization__stdcell,0.631253
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,971166
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,2729
globalroute__design__violations,0
globalroute__antenna__violating__nets,171
globalroute__antenna__violating__pins,178
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,4.30882
globalroute__clock__skew__setup,0.0742296
globalroute__clock__skew__hold,0.0742296
globalroute__timing__drv__max_slew_limit,0.47263
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.569909
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,105
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.0130259
globalroute__power__switching__total,0.00806625
globalroute__power__leakage__total,3.48938e-06
