Metric,Value
detailedplace__design__instance__displacement__total,9004.79
detailedplace__design__instance__displacement__mean,3.3
detailedplace__design__instance__displacement__max,10.867
detailedplace__route__wirelength__estimated,71299.4
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.2857
detailedplace__timing__drv__max_slew_limit,0.918388
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.927615
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00412472
detailedplace__power__switching__total,0.0026093
detailedplace__power__leakage__total,4.97476e-07
detailedplace__power__total,0.00673452
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,2728
detailedplace__design__instance__area,39187.4
detailedplace__design__instance__count__stdcell,2728
detailedplace__design__instance__area__stdcell,39187.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.620098
detailedplace__design__instance__utilization__stdcell,0.620098
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.3754
globalplace__power__internal__total,0.0041609
globalplace__power__switching__total,0.00259405
globalplace__power__leakage__total,4.58707e-07
globalplace__power__total,0.00675542
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,2528
globalplace__design__instance__area,37233.3
globalplace__design__instance__count__stdcell,2528
globalplace__design__instance__area__stdcell,37233.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.589176
globalplace__design__instance__utilization__stdcell,0.589176
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.2856
placeopt__timing__drv__max_slew_limit,0.918672
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.928159
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00412458
placeopt__power__switching__total,0.00259844
placeopt__power__leakage__total,4.97476e-07
placeopt__power__total,0.00672351
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,2728
placeopt__design__instance__area,39187.4
placeopt__design__instance__count__stdcell,2728
placeopt__design__instance__area__stdcell,39187.4
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.620098
placeopt__design__instance__utilization__stdcell,0.620098
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,70442.8
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,9
globalroute__design__violations,0
globalroute__antenna__violating__nets,1
globalroute__antenna__violating__pins,1
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,10.7843
globalroute__clock__skew__setup,4.03587
globalroute__clock__skew__hold,4.03587
globalroute__timing__drv__max_slew_limit,0.815484
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.681466
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00420065
globalroute__power__switching__total,0.00373074
globalroute__power__leakage__total,5.12946e-07
globalroute__power__total,0.0079319
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,2804
globalroute__design__instance__area,39940.4
globalroute__design__instance__count__stdcell,2804
globalroute__design__instance__area__stdcell,39940.4
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.632013
globalroute__design__instance__utilization__stdcell,0.632013
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
