Metric,Value
detailedplace__design__instance__displacement__total,593.17
detailedplace__design__instance__displacement__mean,3.981
detailedplace__design__instance__displacement__max,13.496
detailedplace__route__wirelength__estimated,3569.09
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.5302
detailedplace__timing__drv__max_slew_limit,0.884777
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.957798
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000199306
detailedplace__power__switching__total,1.54225e-05
detailedplace__power__leakage__total,3.61464e-08
detailedplace__power__total,0.000214764
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,149
detailedplace__design__instance__area,2879.45
detailedplace__design__instance__count__stdcell,149
detailedplace__design__instance__area__stdcell,2879.45
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.0946333
detailedplace__design__instance__utilization__stdcell,0.0946333
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.5916
globalplace__power__internal__total,0.000196103
globalplace__power__switching__total,1.36146e-05
globalplace__power__leakage__total,3.15006e-08
globalplace__power__total,0.000209749
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,115
globalplace__design__instance__area,2589.15
globalplace__design__instance__count__stdcell,115
globalplace__design__instance__area__stdcell,2589.15
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.0850924
globalplace__design__instance__utilization__stdcell,0.0850924
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.5306
placeopt__timing__drv__max_slew_limit,0.884936
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.957563
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000199254
placeopt__power__switching__total,1.53208e-05
placeopt__power__leakage__total,3.61464e-08
placeopt__power__total,0.000214611
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,149
placeopt__design__instance__area,2879.45
placeopt__design__instance__count__stdcell,149
placeopt__design__instance__area__stdcell,2879.45
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.0946333
placeopt__design__instance__utilization__stdcell,0.0946333
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,3672.81
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.4947
globalroute__clock__skew__setup,0.00922584
globalroute__clock__skew__hold,0.00922584
globalroute__timing__drv__max_slew_limit,0.866745
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.892888
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000205778
globalroute__power__switching__total,3.31831e-05
globalroute__power__leakage__total,3.75802e-08
