Metric,Value
detailedplace__design__instance__displacement__total,12102.8
detailedplace__design__instance__displacement__mean,2.657
detailedplace__design__instance__displacement__max,13.74
detailedplace__route__wirelength__estimated,96536
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.6978
detailedplace__timing__drv__max_slew_limit,0.926315
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.925194
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000824816
detailedplace__power__switching__total,0.00021573
detailedplace__power__leakage__total,5.95537e-07
detailedplace__power__total,0.00104114
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,4554
detailedplace__design__instance__area,47865.7
detailedplace__design__instance__count__stdcell,4554
detailedplace__design__instance__area__stdcell,47865.7
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.757422
detailedplace__design__instance__utilization__stdcell,0.757422
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.7517
globalplace__power__internal__total,0.00081807
globalplace__power__switching__total,0.00021808
globalplace__power__leakage__total,5.6479e-07
globalplace__power__total,0.00103671
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,4142
globalplace__design__instance__area,45153.2
globalplace__design__instance__count__stdcell,4142
globalplace__design__instance__area__stdcell,45153.2
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.714499
globalplace__design__instance__utilization__stdcell,0.714499
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.6986
placeopt__timing__drv__max_slew_limit,0.925993
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.925043
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000824791
placeopt__power__switching__total,0.000215495
placeopt__power__leakage__total,5.95537e-07
placeopt__power__total,0.00104088
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,4554
placeopt__design__instance__area,47865.7
placeopt__design__instance__count__stdcell,4554
placeopt__design__instance__area__stdcell,47865.7
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.757422
placeopt__design__instance__utilization__stdcell,0.757422
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,94807.4
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,8
globalroute__design__violations,0
globalroute__antenna__violating__nets,1
globalroute__antenna__violating__pins,1
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.6866
globalroute__clock__skew__setup,0.0683009
globalroute__clock__skew__hold,0.0683009
globalroute__timing__drv__max_slew_limit,0.767364
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.741994
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000924331
globalroute__power__switching__total,0.000413425
globalroute__power__leakage__total,6.17048e-07
globalroute__power__total,0.00133837
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,4631
globalroute__design__instance__area,48803.7
globalroute__design__instance__count__stdcell,4631
globalroute__design__instance__area__stdcell,48803.7
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.772265
globalroute__design__instance__utilization__stdcell,0.772265
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,94807.4
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.6978
cts__clock__skew__setup,0.0758669
cts__clock__skew__hold,0.0758669
cts__timing__drv__max_slew_limit,0.847501
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.688203
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000923327
cts__power__switching__total,0.000310627
cts__power__leakage__total,6.17014e-07
cts__power__total,0.00123457
cts__design__io,45
cts__design__die__area,66563.1
cts__design__core__area,63195.6
cts__design__instance__count,4623
cts__design__instance__area,48760.2
cts__design__instance__count__stdcell,4623
cts__design__instance__area__stdcell,48760.2
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.771576
cts__design__instance__utilization__stdcell,0.771576
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19997
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,2.56869e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,2.6658e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.47992e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,2.6658e-05
finish__design__instance__count__class:fill_cell,2310
finish__design__instance__count__class:antenna_cell,8
finish__design__instance__count__class:other,856
finish__design__instance__count__class:buffer,332
finish__design__instance__count__class:clock_buffer,59
finish__design__instance__count__class:timing_repair_buffer,183
finish__design__instance__count__class:inverter,505
finish__design__instance__count__class:clock_inverter,10
finish__design__instance__count__class:sequential_cell,222
finish__design__instance__count__class:multi_input_combinational_cell,3312
finish__timing__setup__tns,0
finish__timing__setup__ws,11.6332
finish__clock__skew__setup,0.0895581
finish__clock__skew__hold,0.0895581
finish__timing__drv__max_slew_limit,0.809327
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.729616
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,0
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00092334
finish__power__switching__total,0.000447822
finish__power__leakage__total,1.11708e-06
finish__power__total,0.00137228
finish__design__io,45
finish__design__die__area,66563.1
finish__design__core__area,63195.6
finish__design__instance__count,5487
finish__design__instance__area,57237.1
finish__design__instance__count__stdcell,5487
finish__design__instance__area__stdcell,57237.1
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.905713
finish__design__instance__utilization__stdcell,0.905713
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,4841
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,2639
detailedroute__route__wirelength__iter:1,110351
detailedroute__route__drc_errors__iter:2,1369
detailedroute__route__wirelength__iter:2,109621
detailedroute__route__drc_errors__iter:3,1285
detailedroute__route__wirelength__iter:3,109482
detailedroute__route__drc_errors__iter:4,314
detailedroute__route__wirelength__iter:4,108876
detailedroute__route__drc_errors__iter:5,46
detailedroute__route__wirelength__iter:5,108798
detailedroute__route__drc_errors__iter:6,7
detailedroute__route__wirelength__iter:6,108796
detailedroute__route__drc_errors__iter:7,6
detailedroute__route__wirelength__iter:7,108806
detailedroute__route__drc_errors__iter:8,0
detailedroute__route__wirelength__iter:8,108802
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,108802
detailedroute__route__vias,27922
detailedroute__route__vias__singlecut,27922
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,11.7656
floorplan__power__internal__total,0.000817717
floorplan__power__switching__total,0.000206997
floorplan__power__leakage__total,5.6479e-07
floorplan__power__total,0.00102528
floorplan__design__io,43
