Metric,Value
detailedplace__design__instance__displacement__total,13403.1
detailedplace__design__instance__displacement__mean,3.698
detailedplace__design__instance__displacement__max,13.081
detailedplace__route__wirelength__estimated,76137.4
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.7326
detailedplace__timing__drv__max_slew_limit,0.917891
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.92351
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,1
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00115669
detailedplace__power__switching__total,0.000235683
detailedplace__power__leakage__total,5.43671e-07
detailedplace__power__total,0.00139291
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,3624
detailedplace__design__instance__area,45672.1
detailedplace__design__instance__count__stdcell,3624
detailedplace__design__instance__area__stdcell,45672.1
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.72271
detailedplace__design__instance__utilization__stdcell,0.72271
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.673
globalplace__power__internal__total,0.00112255
globalplace__power__switching__total,0.000223074
globalplace__power__leakage__total,4.93117e-07
globalplace__power__total,0.00134611
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,3177
globalplace__design__instance__area,41903.6
globalplace__design__instance__count__stdcell,3177
globalplace__design__instance__area__stdcell,41903.6
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.663078
globalplace__design__instance__utilization__stdcell,0.663078
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.7332
placeopt__timing__drv__max_slew_limit,0.918817
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.923943
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,1
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00115663
placeopt__power__switching__total,0.000234947
placeopt__power__leakage__total,5.43671e-07
placeopt__power__total,0.00139212
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,3624
placeopt__design__instance__area,45672.1
placeopt__design__instance__count__stdcell,3624
placeopt__design__instance__area__stdcell,45672.1
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.72271
placeopt__design__instance__utilization__stdcell,0.72271
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,74585.1
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,5
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.5108
globalroute__clock__skew__setup,0.171969
globalroute__clock__skew__hold,0.171969
globalroute__timing__drv__max_slew_limit,0.854256
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.702375
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00123277
globalroute__power__switching__total,0.000459468
globalroute__power__leakage__total,5.61095e-07
globalroute__power__total,0.00169279
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,3706
globalroute__design__instance__area,46501.3
globalroute__design__instance__count__stdcell,3706
globalroute__design__instance__area__stdcell,46501.3
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.735831
globalroute__design__instance__utilization__stdcell,0.735831
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,74566.3
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.7324
cts__clock__skew__setup,0.262573
cts__clock__skew__hold,0.262573
cts__timing__drv__max_slew_limit,0.843346
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.679538
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00122782
cts__power__switching__total,0.00034355
cts__power__leakage__total,5.60963e-07
