Metric,Value
detailedplace__design__instance__displacement__total,13623.8
detailedplace__design__instance__displacement__mean,4.499
detailedplace__design__instance__displacement__max,18.385
detailedplace__route__wirelength__estimated,77531.8
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.9169
detailedplace__timing__drv__max_slew_limit,0.921129
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.925238
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00220732
detailedplace__power__switching__total,0.000878374
detailedplace__power__leakage__total,4.81866e-07
detailedplace__power__total,0.00308617
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,3028
detailedplace__design__instance__area,37461.9
detailedplace__design__instance__count__stdcell,3028
detailedplace__design__instance__area__stdcell,37461.9
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.592794
detailedplace__design__instance__utilization__stdcell,0.592794
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.9895
globalplace__power__internal__total,0.00226089
globalplace__power__switching__total,0.00087521
globalplace__power__leakage__total,4.65805e-07
globalplace__power__total,0.00313656
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,2769
globalplace__design__instance__area,35770.9
globalplace__design__instance__count__stdcell,2769
globalplace__design__instance__area__stdcell,35770.9
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.566035
globalplace__design__instance__utilization__stdcell,0.566035
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.9182
placeopt__timing__drv__max_slew_limit,0.921092
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.926069
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00220718
placeopt__power__switching__total,0.000872485
placeopt__power__leakage__total,4.81866e-07
placeopt__power__total,0.00308015
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,3028
placeopt__design__instance__area,37461.9
placeopt__design__instance__count__stdcell,3028
placeopt__design__instance__area__stdcell,37461.9
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.592794
placeopt__design__instance__utilization__stdcell,0.592794
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,73840.1
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,14.2126
globalroute__clock__skew__setup,4.52271
globalroute__clock__skew__hold,4.40532
globalroute__timing__drv__max_slew_limit,0.809917
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.657794
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00224684
globalroute__power__switching__total,0.00133545
globalroute__power__leakage__total,4.84881e-07
globalroute__power__total,0.00358277
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,3045
globalroute__design__instance__area,37614.3
globalroute__design__instance__count__stdcell,3045
globalroute__design__instance__area__stdcell,37614.3
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
