Metric,Value
detailedplace__design__instance__displacement__total,17714.8
detailedplace__design__instance__displacement__mean,4.7
detailedplace__design__instance__displacement__max,16.781
detailedplace__route__wirelength__estimated,106134
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.7721
detailedplace__timing__drv__max_slew_limit,0.924026
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.927298
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000954068
detailedplace__power__switching__total,6.32516e-05
detailedplace__power__leakage__total,6.15254e-07
detailedplace__power__total,0.00101793
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,3769
detailedplace__design__instance__area,50262.5
detailedplace__design__instance__count__stdcell,3769
detailedplace__design__instance__area__stdcell,50262.5
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.795349
detailedplace__design__instance__utilization__stdcell,0.795349
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.8376
globalplace__power__internal__total,0.00094845
globalplace__power__switching__total,6.08599e-05
globalplace__power__leakage__total,5.64022e-07
globalplace__power__total,0.00100987
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,3252
globalplace__design__instance__area,46285.3
globalplace__design__instance__count__stdcell,3252
globalplace__design__instance__area__stdcell,46285.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.732415
globalplace__design__instance__utilization__stdcell,0.732415
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.7729
placeopt__timing__drv__max_slew_limit,0.924015
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.928127
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000954032
placeopt__power__switching__total,6.28828e-05
placeopt__power__leakage__total,6.15254e-07
placeopt__power__total,0.00101753
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,3769
placeopt__design__instance__area,50262.5
placeopt__design__instance__count__stdcell,3769
placeopt__design__instance__area__stdcell,50262.5
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.795349
placeopt__design__instance__utilization__stdcell,0.795349
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,104523
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,18
globalroute__design__violations,0
globalroute__antenna__violating__nets,3
globalroute__antenna__violating__pins,3
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,13.5551
globalroute__clock__skew__setup,0.035749
globalroute__clock__skew__hold,0.035749
globalroute__timing__drv__max_slew_limit,0.807617
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.649517
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000980591
globalroute__power__switching__total,0.000228241
globalroute__power__leakage__total,6.23585e-07
globalroute__power__total,0.00120946
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,3836
globalroute__design__instance__area,50788.7
globalroute__design__instance__count__stdcell,3836
globalroute__design__instance__area__stdcell,50788.7
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.803675
globalroute__design__instance__utilization__stdcell,0.803675
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,104523
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,13.987
cts__clock__skew__setup,0.0418127
cts__clock__skew__hold,0.0418127
cts__timing__drv__max_slew_limit,0.83404
