Metric,Value
detailedplace__design__instance__displacement__total,14878.1
detailedplace__design__instance__displacement__mean,3.936
detailedplace__design__instance__displacement__max,26.784
detailedplace__route__wirelength__estimated,95011
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.739
detailedplace__timing__drv__max_slew_limit,0.921558
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.92642
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00111202
detailedplace__power__switching__total,3.08081e-05
detailedplace__power__leakage__total,6.41892e-07
detailedplace__power__total,0.00114347
detailedplace__design__io,45
detailedplace__design__die__area,134030
detailedplace__design__core__area,129036
detailedplace__design__instance__count,3780
detailedplace__design__instance__area,55112.4
detailedplace__design__instance__count__stdcell,3780
detailedplace__design__instance__area__stdcell,55112.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.427107
detailedplace__design__instance__utilization__stdcell,0.427107
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,10.5586
globalplace__power__internal__total,0.00110634
globalplace__power__switching__total,2.84943e-05
globalplace__power__leakage__total,5.73952e-07
globalplace__power__total,0.0011354
globalplace__design__io,45
globalplace__design__die__area,134030
globalplace__design__core__area,129036
globalplace__design__instance__count,3205
globalplace__design__instance__area,49983.1
globalplace__design__instance__count__stdcell,3205
globalplace__design__instance__area__stdcell,49983.1
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.387356
globalplace__design__instance__utilization__stdcell,0.387356
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.7375
placeopt__timing__drv__max_slew_limit,0.921854
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.926595
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00111201
placeopt__power__switching__total,3.07504e-05
placeopt__power__leakage__total,6.41892e-07
placeopt__power__total,0.0011434
placeopt__design__io,45
placeopt__design__die__area,134030
placeopt__design__core__area,129036
placeopt__design__instance__count,3780
placeopt__design__instance__area,55112.4
placeopt__design__instance__count__stdcell,3780
placeopt__design__instance__area__stdcell,55112.4
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.427107
placeopt__design__instance__utilization__stdcell,0.427107
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,96751.6
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,145
globalroute__design__violations,0
globalroute__antenna__violating__nets,12
globalroute__antenna__violating__pins,12
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,10.4065
globalroute__clock__skew__setup,0.0210373
globalroute__clock__skew__hold,0.0210373
globalroute__timing__drv__max_slew_limit,0.825755
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.807615
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,11
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00121771
globalroute__power__switching__total,0.000190724
globalroute__power__leakage__total,6.64934e-07
globalroute__power__total,0.0014091
globalroute__design__io,45
globalroute__design__die__area,134030
globalroute__design__core__area,129036
globalroute__design__instance__count,3997
globalroute__design__instance__area,56876
globalroute__design__instance__count__stdcell,3997
globalroute__design__instance__area__stdcell,56876
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.440774
globalroute__design__instance__utilization__stdcell,0.440774
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,96751.6
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,10.7325
cts__clock__skew__setup,0.0145465
cts__clock__skew__hold,0.0145465
cts__timing__drv__max_slew_limit,0.919108
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.926412
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00121707
cts__power__switching__total,0.000161405
cts__power__leakage__total,6.64307e-07
cts__power__total,0.00137914
cts__design__io,45
cts__design__die__area,134030
cts__design__core__area,129036
cts__design__instance__count,3852
cts__design__instance__area,56086.7
cts__design__instance__count__stdcell,3852
cts__design__instance__area__stdcell,56086.7
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.434658
cts__design__instance__utilization__stdcell,0.434658
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19997
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,3.00955e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,2.70416e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,5.21918e-06
finish__design_powergrid__drop__worst__net:VGND__corner:default,2.70416e-05
finish__design__instance__count__class:fill_cell,1710
finish__design__instance__count__class:antenna_cell,145
finish__design__instance__count__class:other,5413
finish__design__instance__count__class:buffer,335
finish__design__instance__count__class:clock_buffer,67
finish__design__instance__count__class:timing_repair_buffer,177
finish__design__instance__count__class:inverter,64
finish__design__instance__count__class:clock_inverter,5
finish__design__instance__count__class:sequential_cell,394
finish__design__instance__count__class:multi_input_combinational_cell,2810
finish__timing__setup__tns,0
finish__timing__setup__ws,10.19
finish__clock__skew__setup,0.0314214
finish__clock__skew__hold,0.0314214
finish__timing__drv__max_slew_limit,0.782777
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.793648
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,11
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00121991
finish__power__switching__total,0.000238302
finish__power__leakage__total,4.87705e-06
