Metric,Value
detailedplace__design__instance__displacement__total,6349.23
detailedplace__design__instance__displacement__mean,3.281
detailedplace__design__instance__displacement__max,11.563
detailedplace__route__wirelength__estimated,36508.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.1971
detailedplace__timing__drv__max_slew_limit,0.882737
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.927296
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000502139
detailedplace__power__switching__total,9.00789e-06
detailedplace__power__leakage__total,3.70799e-07
detailedplace__power__total,0.000511517
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,1935
detailedplace__design__instance__area,30959.1
detailedplace__design__instance__count__stdcell,1935
detailedplace__design__instance__area__stdcell,30959.1
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.489894
detailedplace__design__instance__utilization__stdcell,0.489894
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.3884
globalplace__power__internal__total,0.000497882
globalplace__power__switching__total,5.51289e-07
globalplace__power__leakage__total,3.35073e-07
globalplace__power__total,0.000498768
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,1752
globalplace__design__instance__area,29139.3
globalplace__design__instance__count__stdcell,1752
globalplace__design__instance__area__stdcell,29139.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.461097
globalplace__design__instance__utilization__stdcell,0.461097
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.1931
placeopt__timing__drv__max_slew_limit,0.882911
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.927949
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000502137
placeopt__power__switching__total,9.00857e-06
placeopt__power__leakage__total,3.70799e-07
placeopt__power__total,0.000511517
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,1935
placeopt__design__instance__area,30959.1
placeopt__design__instance__count__stdcell,1935
placeopt__design__instance__area__stdcell,30959.1
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.489894
placeopt__design__instance__utilization__stdcell,0.489894
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,36408.2
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,5
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,15.0369
globalroute__clock__skew__setup,0.664658
globalroute__clock__skew__hold,0.664658
globalroute__timing__drv__max_slew_limit,0.852273
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.698243
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000524673
globalroute__power__switching__total,8.8024e-05
globalroute__power__leakage__total,3.77429e-07
globalroute__power__total,0.000613075
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,1990
globalroute__design__instance__area,31376.4
globalroute__design__instance__count__stdcell,1990
globalroute__design__instance__area__stdcell,31376.4
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.496497
globalroute__design__instance__utilization__stdcell,0.496497
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,36408.2
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,15.0142
cts__clock__skew__setup,0.545515
cts__clock__skew__hold,0.545515
cts__timing__drv__max_slew_limit,0.82382
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.638979
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000527014
cts__power__switching__total,7.23828e-05
cts__power__leakage__total,3.77407e-07
cts__power__total,0.000599774
cts__design__io,45
cts__design__die__area,66563.1
cts__design__core__area,63195.6
cts__design__instance__count,1985
cts__design__instance__area,31349.2
cts__design__instance__count__stdcell,1985
cts__design__instance__area__stdcell,31349.2
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.496067
cts__design__instance__utilization__stdcell,0.496067
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,1.64666e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,1.92276e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,5.96652e-06
finish__design_powergrid__drop__worst__net:VGND__corner:default,1.92276e-05
finish__design__instance__count__class:fill_cell,1077
finish__design__instance__count__class:antenna_cell,5
finish__design__instance__count__class:other,2411
finish__design__instance__count__class:buffer,159
finish__design__instance__count__class:clock_buffer,49
finish__design__instance__count__class:timing_repair_buffer,155
finish__design__instance__count__class:inverter,68
finish__design__instance__count__class:clock_inverter,1
finish__design__instance__count__class:sequential_cell,325
finish__design__instance__count__class:multi_input_combinational_cell,1228
finish__timing__setup__tns,0
finish__timing__setup__ws,14.9815
finish__clock__skew__setup,0.649487
finish__clock__skew__hold,0.649487
finish__timing__drv__max_slew_limit,0.833967
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.659488
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000524337
finish__power__switching__total,9.32315e-05
finish__power__leakage__total,2.16235e-06
finish__power__total,0.000619731
finish__design__io,45
finish__design__die__area,66563.1
finish__design__core__area,63195.6
finish__design__instance__count,4401
finish__design__instance__area,60310.7
finish__design__instance__count__stdcell,4401
finish__design__instance__area__stdcell,60310.7
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.95435
finish__design__instance__utilization__stdcell,0.95435
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,2328
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,1007
detailedroute__route__wirelength__iter:1,43405
detailedroute__route__drc_errors__iter:2,659
detailedroute__route__wirelength__iter:2,43186
detailedroute__route__drc_errors__iter:3,600
detailedroute__route__wirelength__iter:3,42986
detailedroute__route__drc_errors__iter:4,158
detailedroute__route__wirelength__iter:4,42756
detailedroute__route__drc_errors__iter:5,39
detailedroute__route__wirelength__iter:5,42740
detailedroute__route__drc_errors__iter:6,1
detailedroute__route__wirelength__iter:6,42732
detailedroute__route__drc_errors__iter:7,1
detailedroute__route__wirelength__iter:7,42732
detailedroute__route__drc_errors__iter:8,0
detailedroute__route__wirelength__iter:8,42731
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,42731
detailedroute__route__vias,12325
detailedroute__route__vias__singlecut,12325
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,15.4007
floorplan__power__internal__total,0.000498013
floorplan__power__switching__total,5.07863e-07
floorplan__power__leakage__total,3.35073e-07
floorplan__power__total,0.000498856
floorplan__design__io,43
floorplan__design__die__area,66563.1
floorplan__design__core__area,63195.6
floorplan__design__instance__count,1752
floorplan__design__instance__area,29139.3
floorplan__design__instance__count__stdcell,1752
floorplan__design__instance__area__stdcell,29139.3
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.461097
floorplan__design__instance__utilization__stdcell,0.461097
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
