Metric,Value
detailedplace__design__instance__displacement__total,43571.8
detailedplace__design__instance__displacement__mean,6.121
detailedplace__design__instance__displacement__max,50.238
detailedplace__route__wirelength__estimated,201736
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.88095
detailedplace__timing__drv__max_slew_limit,0.921001
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.927297
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.0039961
detailedplace__power__switching__total,0.00013344
detailedplace__power__leakage__total,1.37817e-06
detailedplace__power__total,0.00413092
detailedplace__design__io,45
detailedplace__design__die__area,201496
detailedplace__design__core__area,194877
detailedplace__design__instance__count,7118
detailedplace__design__instance__area,121886
detailedplace__design__instance__count__stdcell,7118
detailedplace__design__instance__area__stdcell,121886
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.625449
detailedplace__design__instance__utilization__stdcell,0.625449
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.93543
globalplace__power__internal__total,0.00399088
globalplace__power__switching__total,0.000129454
globalplace__power__leakage__total,1.23298e-06
globalplace__power__total,0.00412157
globalplace__design__io,45
globalplace__design__die__area,201496
globalplace__design__core__area,194877
globalplace__design__instance__count,5475
globalplace__design__instance__area,109022
globalplace__design__instance__count__stdcell,5475
globalplace__design__instance__area__stdcell,109022
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.559438
globalplace__design__instance__utilization__stdcell,0.559438
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.87782
placeopt__timing__drv__max_slew_limit,0.921667
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.927763
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00399567
placeopt__power__switching__total,0.000132491
placeopt__power__leakage__total,1.37817e-06
placeopt__power__total,0.00412954
placeopt__design__io,45
placeopt__design__die__area,201496
placeopt__design__core__area,194877
placeopt__design__instance__count,7118
placeopt__design__instance__area,121886
placeopt__design__instance__count__stdcell,7118
placeopt__design__instance__area__stdcell,121886
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.625449
placeopt__design__instance__utilization__stdcell,0.625449
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,234190
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,3
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,5.12153
globalroute__clock__skew__setup,0.140748
globalroute__clock__skew__hold,0.140748
globalroute__timing__drv__max_slew_limit,0.791373
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.796656
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00438894
globalroute__power__switching__total,0.000678027
globalroute__power__leakage__total,1.45587e-06
globalroute__power__total,0.00506843
globalroute__design__io,45
globalroute__design__die__area,201496
globalroute__design__core__area,194877
globalroute__design__instance__count,7360
globalroute__design__instance__area,125246
globalroute__design__instance__count__stdcell,7360
globalroute__design__instance__area__stdcell,125246
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.642692
globalroute__design__instance__utilization__stdcell,0.642692
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,234190
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,5.0761
cts__clock__skew__setup,0.179144
cts__clock__skew__hold,0.179144
cts__timing__drv__max_slew_limit,0.789624
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.926014
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00436998
cts__power__switching__total,0.000558227
cts__power__leakage__total,1.45586e-06
cts__power__total,0.00492966
cts__design__io,45
cts__design__die__area,201496
cts__design__core__area,194877
cts__design__instance__count,7357
cts__design__instance__area,125230
cts__design__instance__count__stdcell,7357
cts__design__instance__area__stdcell,125230
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.642608
cts__design__instance__utilization__stdcell,0.642608
cts__flow__warnings__count,3
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,3.59472e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,3.42272e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.62996e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,3.42272e-05
finish__design__instance__count__class:fill_cell,2461
finish__design__instance__count__class:antenna_cell,3
finish__design__instance__count__class:other,5029
finish__design__instance__count__class:buffer,551
finish__design__instance__count__class:clock_buffer,233
finish__design__instance__count__class:timing_repair_buffer,336
finish__design__instance__count__class:inverter,124
finish__design__instance__count__class:clock_inverter,8
finish__design__instance__count__class:sequential_cell,1306
finish__design__instance__count__class:multi_input_combinational_cell,4799
finish__timing__setup__tns,0
finish__timing__setup__ws,5.01104
finish__clock__skew__setup,0.189916
finish__clock__skew__hold,0.189916
finish__timing__drv__max_slew_limit,0.781298
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.75042
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00439735
finish__power__switching__total,0.000812406
finish__power__leakage__total,5.3955e-06
finish__power__total,0.00521515
finish__design__io,45
finish__design__die__area,201496
finish__design__core__area,194877
finish__design__instance__count,12389
finish__design__instance__area,188574
finish__design__instance__count__stdcell,12389
finish__design__instance__area__stdcell,188574
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.967655
finish__design__instance__utilization__stdcell,0.967655
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,8660
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,6068
detailedroute__route__wirelength__iter:1,267060
detailedroute__route__drc_errors__iter:2,3269
detailedroute__route__wirelength__iter:2,265097
detailedroute__route__drc_errors__iter:3,3013
detailedroute__route__wirelength__iter:3,264758
detailedroute__route__drc_errors__iter:4,473
detailedroute__route__wirelength__iter:4,263228
detailedroute__route__drc_errors__iter:5,88
detailedroute__route__wirelength__iter:5,263185
detailedroute__route__drc_errors__iter:6,13
detailedroute__route__wirelength__iter:6,263149
detailedroute__route__drc_errors__iter:7,5
detailedroute__route__wirelength__iter:7,263166
detailedroute__route__drc_errors__iter:8,2
detailedroute__route__wirelength__iter:8,263159
detailedroute__route__drc_errors__iter:9,2
detailedroute__route__wirelength__iter:9,263159
detailedroute__route__drc_errors__iter:10,0
detailedroute__route__wirelength__iter:10,263163
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,263163
detailedroute__route__vias,49399
detailedroute__route__vias__singlecut,49399
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,5.93543
floorplan__power__internal__total,0.00398758
floorplan__power__switching__total,0.000120088
floorplan__power__leakage__total,1.23298e-06
floorplan__power__total,0.0041089
floorplan__design__io,43
floorplan__design__die__area,201496
floorplan__design__core__area,194877
floorplan__design__instance__count,5475
floorplan__design__instance__area,109022
floorplan__design__instance__count__stdcell,5475
floorplan__design__instance__area__stdcell,109022
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.559438
floorplan__design__instance__utilization__stdcell,0.559438
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
