Metric,Value
detailedplace__design__instance__displacement__total,18373.9
detailedplace__design__instance__displacement__mean,1.979
detailedplace__design__instance__displacement__max,8.043
detailedplace__route__wirelength__estimated,450918
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.4057
detailedplace__timing__drv__max_slew_limit,0.91329
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.917153
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00236712
detailedplace__power__switching__total,0.000365752
detailedplace__power__leakage__total,1.38457e-06
detailedplace__power__total,0.00273426
detailedplace__design__io,45
detailedplace__design__die__area,268963
detailedplace__design__core__area,260718
detailedplace__design__instance__count,9280
detailedplace__design__instance__area,109675
detailedplace__design__instance__count__stdcell,9280
detailedplace__design__instance__area__stdcell,109675
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.420665
detailedplace__design__instance__utilization__stdcell,0.420665
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.4176
globalplace__power__internal__total,0.00235854
globalplace__power__switching__total,0.000362964
globalplace__power__leakage__total,1.24796e-06
globalplace__power__total,0.00272275
globalplace__design__io,45
globalplace__design__die__area,268963
globalplace__design__core__area,260718
globalplace__design__instance__count,8039
globalplace__design__instance__area,99674.1
globalplace__design__instance__count__stdcell,8039
globalplace__design__instance__area__stdcell,99674.1
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.382305
globalplace__design__instance__utilization__stdcell,0.382305
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.4055
placeopt__timing__drv__max_slew_limit,0.912638
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.915757
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00236705
placeopt__power__switching__total,0.000366137
placeopt__power__leakage__total,1.38457e-06
placeopt__power__total,0.00273457
placeopt__design__io,45
placeopt__design__die__area,268963
placeopt__design__core__area,260718
placeopt__design__instance__count,9280
placeopt__design__instance__area,109675
placeopt__design__instance__count__stdcell,9280
placeopt__design__instance__area__stdcell,109675
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.420665
placeopt__design__instance__utilization__stdcell,0.420665
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,435648
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,1244
globalroute__design__violations,0
globalroute__antenna__violating__nets,53
globalroute__antenna__violating__pins,56
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.2795
globalroute__clock__skew__setup,0.106987
globalroute__clock__skew__hold,0.106987
globalroute__timing__drv__max_slew_limit,0.609739
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.611233
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,55
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00283539
globalroute__power__switching__total,0.000786462
