Metric,Value
detailedplace__design__instance__displacement__total,110.905
detailedplace__design__instance__displacement__mean,1.912
detailedplace__design__instance__displacement__max,4.688
detailedplace__route__wirelength__estimated,369.581
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,1e+39
detailedplace__timing__drv__max_slew_limit,0.975081
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.975798
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,8.02386e-07
detailedplace__power__switching__total,1.24399e-07
detailedplace__power__leakage__total,5.72849e-09
detailedplace__power__total,9.32513e-07
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,58
detailedplace__design__instance__area,468.115
detailedplace__design__instance__count__stdcell,58
detailedplace__design__instance__area__stdcell,468.115
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.0153846
detailedplace__design__instance__utilization__stdcell,0.0153846
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,1e+39
globalplace__power__internal__total,8.50832e-07
globalplace__power__switching__total,1.12573e-07
globalplace__power__leakage__total,4.33335e-09
globalplace__power__total,9.67739e-07
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,32
globalplace__design__instance__area,290.304
globalplace__design__instance__count__stdcell,32
globalplace__design__instance__area__stdcell,290.304
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.00954085
globalplace__design__instance__utilization__stdcell,0.00954085
globalplace__flow__warnings__count,1
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,1e+39
placeopt__timing__drv__max_slew_limit,0.975407
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.974582
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,8.0236e-07
placeopt__power__switching__total,1.24074e-07
placeopt__power__leakage__total,5.72849e-09
placeopt__power__total,9.32163e-07
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,58
placeopt__design__instance__area,468.115
placeopt__design__instance__count__stdcell,58
placeopt__design__instance__area__stdcell,468.115
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.0153846
placeopt__design__instance__utilization__stdcell,0.0153846
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,343.16
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,1e+39
globalroute__clock__skew__setup,0
globalroute__clock__skew__hold,0
globalroute__timing__drv__max_slew_limit,0.971316
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.973357
globalroute__timing__drv__max_cap,0
