Metric,Value
detailedplace__design__instance__displacement__total,1899.86
detailedplace__design__instance__displacement__mean,2.55
detailedplace__design__instance__displacement__max,9.32
detailedplace__route__wirelength__estimated,15376.1
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.3899
detailedplace__timing__drv__max_slew_limit,0.921674
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.928659
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000386788
detailedplace__power__switching__total,6.19035e-05
detailedplace__power__leakage__total,1.30887e-07
detailedplace__power__total,0.000448823
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,745
detailedplace__design__instance__area,10472.7
detailedplace__design__instance__count__stdcell,745
detailedplace__design__instance__area__stdcell,10472.7
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.344186
detailedplace__design__instance__utilization__stdcell,0.344186
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.7453
globalplace__power__internal__total,0.000387167
globalplace__power__switching__total,6.01548e-05
globalplace__power__leakage__total,1.23922e-07
globalplace__power__total,0.000447446
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,671
globalplace__design__instance__area,9981.01
globalplace__design__instance__count__stdcell,671
globalplace__design__instance__area__stdcell,9981.01
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.328026
globalplace__design__instance__utilization__stdcell,0.328026
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.3899
placeopt__timing__drv__max_slew_limit,0.921356
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.928707
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000386754
placeopt__power__switching__total,6.18266e-05
placeopt__power__leakage__total,1.30887e-07
placeopt__power__total,0.000448711
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,745
placeopt__design__instance__area,10472.7
placeopt__design__instance__count__stdcell,745
placeopt__design__instance__area__stdcell,10472.7
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.344186
placeopt__design__instance__utilization__stdcell,0.344186
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
