Metric,Value
detailedplace__design__instance__displacement__total,28653
detailedplace__design__instance__displacement__mean,2.296
detailedplace__design__instance__displacement__max,9.532
detailedplace__route__wirelength__estimated,481587
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.7624
detailedplace__timing__drv__max_slew_limit,0.923026
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.877525
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00762712
detailedplace__power__switching__total,0.00642817
detailedplace__power__leakage__total,1.61183e-06
detailedplace__power__total,0.0140569
detailedplace__design__io,45
detailedplace__design__die__area,201496
detailedplace__design__core__area,194877
detailedplace__design__instance__count,12475
detailedplace__design__instance__area,119656
detailedplace__design__instance__count__stdcell,12475
detailedplace__design__instance__area__stdcell,119656
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.614007
detailedplace__design__instance__utilization__stdcell,0.614007
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.6093
globalplace__power__internal__total,0.00786592
globalplace__power__switching__total,0.00663406
globalplace__power__leakage__total,1.62548e-06
globalplace__power__total,0.0145016
globalplace__design__io,45
globalplace__design__die__area,201496
globalplace__design__core__area,194877
globalplace__design__instance__count,12157
globalplace__design__instance__area,119335
globalplace__design__instance__count__stdcell,12157
globalplace__design__instance__area__stdcell,119335
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.612359
globalplace__design__instance__utilization__stdcell,0.612359
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.766
placeopt__timing__drv__max_slew_limit,0.922764
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.877727
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00762651
placeopt__power__switching__total,0.00642472
placeopt__power__leakage__total,1.61183e-06
placeopt__power__total,0.0140528
placeopt__design__io,45
placeopt__design__die__area,201496
placeopt__design__core__area,194877
placeopt__design__instance__count,12475
placeopt__design__instance__area,119656
placeopt__design__instance__count__stdcell,12475
placeopt__design__instance__area__stdcell,119656
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.614007
placeopt__design__instance__utilization__stdcell,0.614007
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
