Metric,Value
detailedplace__design__instance__displacement__total,19677.9
detailedplace__design__instance__displacement__mean,7.753
detailedplace__design__instance__displacement__max,130.519
detailedplace__route__wirelength__estimated,72355.7
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.582
detailedplace__timing__drv__max_slew_limit,0.94888
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.924432
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000516683
detailedplace__power__switching__total,0.000363506
detailedplace__power__leakage__total,3.13603e-07
detailedplace__power__total,0.000880503
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,2538
detailedplace__design__instance__area,24283.9
detailedplace__design__instance__count__stdcell,2538
detailedplace__design__instance__area__stdcell,24283.9
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.798092
detailedplace__design__instance__utilization__stdcell,0.798092
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,10.7414
globalplace__power__internal__total,0.00050053
globalplace__power__switching__total,0.000357137
globalplace__power__leakage__total,2.8944e-07
globalplace__power__total,0.000857957
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,2286
globalplace__design__instance__area,22569.3
globalplace__design__instance__count__stdcell,2286
globalplace__design__instance__area__stdcell,22569.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.741741
globalplace__design__instance__utilization__stdcell,0.741741
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.5899
placeopt__timing__drv__max_slew_limit,0.949907
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.927921
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00051634
placeopt__power__switching__total,0.0003602
placeopt__power__leakage__total,3.13603e-07
placeopt__power__total,0.000876853
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,2538
placeopt__design__instance__area,24283.9
placeopt__design__instance__count__stdcell,2538
placeopt__design__instance__area__stdcell,24283.9
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.798092
placeopt__design__instance__utilization__stdcell,0.798092
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,68019.7
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,10.1571
globalroute__clock__skew__setup,0
globalroute__clock__skew__hold,0
globalroute__timing__drv__max_slew_limit,0.867613
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.730217
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000538178
globalroute__power__switching__total,0.000504548
globalroute__power__leakage__total,3.16618e-07
globalroute__power__total,0.00104304
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,2555
globalroute__design__instance__area,24436.3
globalroute__design__instance__count__stdcell,2555
globalroute__design__instance__area__stdcell,24436.3
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.803101
globalroute__design__instance__utilization__stdcell,0.803101
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,68019.7
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,10.5792
cts__clock__skew__setup,0
cts__clock__skew__hold,0
cts__timing__drv__max_slew_limit,0.857203
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.708418
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000531133
cts__power__switching__total,0.000385722
cts__power__leakage__total,3.16618e-07
cts__power__total,0.000917171
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,2555
cts__design__instance__area,24436.3
cts__design__instance__count__stdcell,2555
cts__design__instance__area__stdcell,24436.3
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.803101
cts__design__instance__utilization__stdcell,0.803101
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,4.08018e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,4.43979e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,2.14949e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,4.43979e-05
finish__design__instance__count__class:fill_cell,486
finish__design__instance__count__class:other,389
finish__design__instance__count__class:buffer,228
finish__design__instance__count__class:clock_buffer,17
finish__design__instance__count__class:timing_repair_buffer,189
finish__design__instance__count__class:inverter,134
finish__design__instance__count__class:sequential_cell,64
finish__design__instance__count__class:multi_input_combinational_cell,1923
finish__timing__setup__tns,0
finish__timing__setup__ws,9.78347
finish__clock__skew__setup,0
finish__clock__skew__hold,0
finish__timing__drv__max_slew_limit,0.838675
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.669367
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.0005411
finish__power__switching__total,0.000600386
finish__power__leakage__total,6.1411e-07
finish__power__total,0.0011421
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2944
finish__design__instance__area,29235.4
finish__design__instance__count__stdcell,2944
finish__design__instance__area__stdcell,29235.4
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.960823
finish__design__instance__utilization__stdcell,0.960823
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,2638
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,4164
detailedroute__route__wirelength__iter:1,79002
detailedroute__route__drc_errors__iter:2,2823
detailedroute__route__wirelength__iter:2,78513
detailedroute__route__drc_errors__iter:3,2756
detailedroute__route__wirelength__iter:3,78416
detailedroute__route__drc_errors__iter:4,898
detailedroute__route__wirelength__iter:4,77447
detailedroute__route__drc_errors__iter:5,338
detailedroute__route__wirelength__iter:5,77418
detailedroute__route__drc_errors__iter:6,178
detailedroute__route__wirelength__iter:6,77447
detailedroute__route__drc_errors__iter:7,52
detailedroute__route__wirelength__iter:7,77444
detailedroute__route__drc_errors__iter:8,17
detailedroute__route__wirelength__iter:8,77434
detailedroute__route__drc_errors__iter:9,10
detailedroute__route__wirelength__iter:9,77424
detailedroute__route__drc_errors__iter:10,3
detailedroute__route__wirelength__iter:10,77417
detailedroute__route__drc_errors__iter:11,0
detailedroute__route__wirelength__iter:11,77414
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,77414
detailedroute__route__vias,19543
detailedroute__route__vias__singlecut,19543
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,10.7933
floorplan__power__internal__total,0.000499808
floorplan__power__switching__total,0.000342626
floorplan__power__leakage__total,2.8944e-07
floorplan__power__total,0.000842723
floorplan__design__io,43
floorplan__design__die__area,32880.6
floorplan__design__core__area,30427.5
floorplan__design__instance__count,2286
floorplan__design__instance__area,22569.3
floorplan__design__instance__count__stdcell,2286
floorplan__design__instance__area__stdcell,22569.3
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.741741
floorplan__design__instance__utilization__stdcell,0.741741
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
