Metric,Value
detailedplace__design__instance__displacement__total,31466.6
detailedplace__design__instance__displacement__mean,6.309
detailedplace__design__instance__displacement__max,107.533
detailedplace__route__wirelength__estimated,164718
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,9.63465
detailedplace__timing__drv__max_slew_limit,0.913887
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.915644
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000179386
detailedplace__power__switching__total,0.000103905
detailedplace__power__leakage__total,6.64543e-07
detailedplace__power__total,0.000283956
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,4987
detailedplace__design__instance__area,48983.4
detailedplace__design__instance__count__stdcell,4987
detailedplace__design__instance__area__stdcell,48983.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.775108
detailedplace__design__instance__utilization__stdcell,0.775108
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,9.7916
globalplace__power__internal__total,0.000174074
globalplace__power__switching__total,9.98722e-05
globalplace__power__leakage__total,6.11909e-07
globalplace__power__total,0.000274558
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,4628
globalplace__design__instance__area,45869.8
globalplace__design__instance__count__stdcell,4628
globalplace__design__instance__area__stdcell,45869.8
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.72584
globalplace__design__instance__utilization__stdcell,0.72584
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,9.6561
placeopt__timing__drv__max_slew_limit,0.914732
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.915913
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000179376
placeopt__power__switching__total,0.000102905
placeopt__power__leakage__total,6.64543e-07
placeopt__power__total,0.000282945
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,4987
placeopt__design__instance__area,48983.4
placeopt__design__instance__count__stdcell,4987
placeopt__design__instance__area__stdcell,48983.4
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.775108
placeopt__design__instance__utilization__stdcell,0.775108
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,148230
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,10
globalroute__design__violations,0
globalroute__antenna__violating__nets,2
globalroute__antenna__violating__pins,2
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,8.88592
globalroute__clock__skew__setup,0.0166026
globalroute__clock__skew__hold,0.0166026
globalroute__timing__drv__max_slew_limit,0.737713
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.782044
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000181077
globalroute__power__switching__total,0.000157727
globalroute__power__leakage__total,6.65264e-07
globalroute__power__total,0.000339469
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,5004
globalroute__design__instance__area,49085
globalroute__design__instance__count__stdcell,5004
globalroute__design__instance__area__stdcell,49085
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.776715
globalroute__design__instance__utilization__stdcell,0.776715
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,148230
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
