Metric,Value
detailedplace__design__instance__displacement__total,20569.1
detailedplace__design__instance__displacement__mean,10.575
detailedplace__design__instance__displacement__max,139.44
detailedplace__route__wirelength__estimated,49718.2
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,13.1568
detailedplace__timing__drv__max_slew_limit,0.904765
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.914385
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000604942
detailedplace__power__switching__total,1.65067e-05
detailedplace__power__leakage__total,2.99544e-07
detailedplace__power__total,0.000621748
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1945
detailedplace__design__instance__area,26388.6
detailedplace__design__instance__count__stdcell,1945
detailedplace__design__instance__area__stdcell,26388.6
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.867263
detailedplace__design__instance__utilization__stdcell,0.867263
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,13.128
globalplace__power__internal__total,0.000602178
globalplace__power__switching__total,1.4971e-05
globalplace__power__leakage__total,2.70526e-07
globalplace__power__total,0.000617419
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1588
globalplace__design__instance__area,23652.5
globalplace__design__instance__count__stdcell,1588
globalplace__design__instance__area__stdcell,23652.5
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.77734
globalplace__design__instance__utilization__stdcell,0.77734
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,13.1689
placeopt__timing__drv__max_slew_limit,0.905084
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.91472
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000604918
placeopt__power__switching__total,1.62406e-05
placeopt__power__leakage__total,2.99544e-07
placeopt__power__total,0.000621459
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1945
placeopt__design__instance__area,26388.6
placeopt__design__instance__count__stdcell,1945
placeopt__design__instance__area__stdcell,26388.6
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.867263
placeopt__design__instance__utilization__stdcell,0.867263
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,49644.9
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,27
globalroute__design__violations,0
globalroute__antenna__violating__nets,5
globalroute__antenna__violating__pins,5
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,12.3477
globalroute__clock__skew__setup,0.0575566
globalroute__clock__skew__hold,0.0575566
globalroute__timing__drv__max_slew_limit,0.854731
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.836803
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000630877
globalroute__power__switching__total,9.955e-05
globalroute__power__leakage__total,3.06681e-07
globalroute__power__total,0.000730734
