Metric,Value
detailedplace__design__instance__displacement__total,7491.24
detailedplace__design__instance__displacement__mean,4.175
detailedplace__design__instance__displacement__max,60.511
detailedplace__route__wirelength__estimated,33825
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,13.5027
detailedplace__timing__drv__max_slew_limit,0.899488
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.911575
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000687662
detailedplace__power__switching__total,0.000117613
detailedplace__power__leakage__total,2.79777e-07
detailedplace__power__total,0.000805555
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1794
detailedplace__design__instance__area,23683.4
detailedplace__design__instance__count__stdcell,1794
detailedplace__design__instance__area__stdcell,23683.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.778354
detailedplace__design__instance__utilization__stdcell,0.778354
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,13.66
globalplace__power__internal__total,0.00067255
globalplace__power__switching__total,0.000110624
globalplace__power__leakage__total,2.54428e-07
globalplace__power__total,0.000783428
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1533
globalplace__design__instance__area,21506.1
globalplace__design__instance__count__stdcell,1533
globalplace__design__instance__area__stdcell,21506.1
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.706798
globalplace__design__instance__utilization__stdcell,0.706798
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,13.5074
placeopt__timing__drv__max_slew_limit,0.901156
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.911669
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000687641
placeopt__power__switching__total,0.00011652
placeopt__power__leakage__total,2.79777e-07
placeopt__power__total,0.000804441
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1794
placeopt__design__instance__area,23683.4
placeopt__design__instance__count__stdcell,1794
placeopt__design__instance__area__stdcell,23683.4
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.778354
placeopt__design__instance__utilization__stdcell,0.778354
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,34410.9
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,12.6525
globalroute__clock__skew__setup,0.0418695
globalroute__clock__skew__hold,0.0418695
globalroute__timing__drv__max_slew_limit,0.876495
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.748719
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000715235
globalroute__power__switching__total,0.000221081
globalroute__power__leakage__total,2.87141e-07
globalroute__power__total,0.000936604
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1856
globalroute__design__instance__area,24138.8
globalroute__design__instance__count__stdcell,1856
globalroute__design__instance__area__stdcell,24138.8
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.793321
globalroute__design__instance__utilization__stdcell,0.793321
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,34410.9
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,12.819
cts__clock__skew__setup,0.0172512
cts__clock__skew__hold,0.0172512
cts__timing__drv__max_slew_limit,0.826199
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.643786
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000714582
cts__power__switching__total,0.000180105
cts__power__leakage__total,2.87141e-07
cts__power__total,0.000894975
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1856
cts__design__instance__area,24138.8
cts__design__instance__count__stdcell,1856
cts__design__instance__area__stdcell,24138.8
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.793321
cts__design__instance__utilization__stdcell,0.793321
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,4.27163e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,4.85904e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.98488e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,4.85904e-05
finish__design__instance__count__class:fill_cell,717
finish__design__instance__count__class:other,386
finish__design__instance__count__class:buffer,131
finish__design__instance__count__class:clock_buffer,49
finish__design__instance__count__class:timing_repair_buffer,79
finish__design__instance__count__class:inverter,37
finish__design__instance__count__class:clock_inverter,13
finish__design__instance__count__class:sequential_cell,173
finish__design__instance__count__class:multi_input_combinational_cell,1374
finish__timing__setup__tns,0
finish__timing__setup__ws,12.3217
finish__clock__skew__setup,0.0571929
finish__clock__skew__hold,0.0571929
finish__timing__drv__max_slew_limit,0.830238
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.651752
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000717816
finish__power__switching__total,0.00025094
finish__power__leakage__total,5.61686e-07
finish__power__total,0.000969318
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2242
finish__design__instance__area,28616.7
finish__design__instance__count__stdcell,2242
finish__design__instance__area__stdcell,28616.7
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.940489
finish__design__instance__utilization__stdcell,0.940489
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,2035
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,1058
detailedroute__route__wirelength__iter:1,40183
detailedroute__route__drc_errors__iter:2,471
detailedroute__route__wirelength__iter:2,39809
detailedroute__route__drc_errors__iter:3,382
detailedroute__route__wirelength__iter:3,39918
detailedroute__route__drc_errors__iter:4,114
detailedroute__route__wirelength__iter:4,39620
detailedroute__route__drc_errors__iter:5,14
detailedroute__route__wirelength__iter:5,39600
detailedroute__route__drc_errors__iter:6,1
detailedroute__route__wirelength__iter:6,39584
detailedroute__route__drc_errors__iter:7,1
detailedroute__route__wirelength__iter:7,39584
detailedroute__route__drc_errors__iter:8,1
detailedroute__route__wirelength__iter:8,39584
detailedroute__route__drc_errors__iter:9,1
detailedroute__route__wirelength__iter:9,39584
detailedroute__route__drc_errors__iter:10,0
detailedroute__route__wirelength__iter:10,39589
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,39589
detailedroute__route__vias,10908
detailedroute__route__vias__singlecut,10908
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,13.6879
floorplan__power__internal__total,0.000672041
floorplan__power__switching__total,0.000106914
floorplan__power__leakage__total,2.54428e-07
floorplan__power__total,0.000779209
floorplan__design__io,43
floorplan__design__die__area,32880.6
floorplan__design__core__area,30427.5
floorplan__design__instance__count,1533
floorplan__design__instance__area,21506.1
floorplan__design__instance__count__stdcell,1533
floorplan__design__instance__area__stdcell,21506.1
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.706798
floorplan__design__instance__utilization__stdcell,0.706798
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
