Metric,Value
detailedplace__design__instance__displacement__total,3803.32
detailedplace__design__instance__displacement__mean,2.619
detailedplace__design__instance__displacement__max,10.02
detailedplace__route__wirelength__estimated,30629.5
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.2077
detailedplace__timing__drv__max_slew_limit,0.882646
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.907312
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000316414
detailedplace__power__switching__total,7.26062e-05
detailedplace__power__leakage__total,2.08455e-07
detailedplace__power__total,0.000389229
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1452
detailedplace__design__instance__area,16977.3
detailedplace__design__instance__count__stdcell,1452
detailedplace__design__instance__area__stdcell,16977.3
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.557961
detailedplace__design__instance__utilization__stdcell,0.557961
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.0965
globalplace__power__internal__total,0.000308266
globalplace__power__switching__total,7.00621e-05
globalplace__power__leakage__total,1.8477e-07
globalplace__power__total,0.000378512
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1281
globalplace__design__instance__area,15362.5
globalplace__design__instance__count__stdcell,1281
globalplace__design__instance__area__stdcell,15362.5
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.50489
globalplace__design__instance__utilization__stdcell,0.50489
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.2068
placeopt__timing__drv__max_slew_limit,0.882451
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.9074
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000316413
placeopt__power__switching__total,7.25292e-05
placeopt__power__leakage__total,2.08455e-07
placeopt__power__total,0.000389151
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1452
placeopt__design__instance__area,16977.3
placeopt__design__instance__count__stdcell,1452
placeopt__design__instance__area__stdcell,16977.3
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.557961
placeopt__design__instance__utilization__stdcell,0.557961
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,29689.9
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,15.2135
globalroute__clock__skew__setup,0.431604
globalroute__clock__skew__hold,0.431604
globalroute__timing__drv__max_slew_limit,0.862719
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.719976
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000330587
globalroute__power__switching__total,0.000125919
globalroute__power__leakage__total,2.11722e-07
globalroute__power__total,0.000456717
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1473
globalroute__design__instance__area,17151.5
globalroute__design__instance__count__stdcell,1473
globalroute__design__instance__area__stdcell,17151.5
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.563685
globalroute__design__instance__utilization__stdcell,0.563685
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,29689.9
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,15.2459
cts__clock__skew__setup,0.336433
cts__clock__skew__hold,0.336433
cts__timing__drv__max_slew_limit,0.85142
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.696371
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000330376
cts__power__switching__total,9.78841e-05
cts__power__leakage__total,2.11722e-07
cts__power__total,0.000428472
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1473
cts__design__instance__area,17151.5
cts__design__instance__count__stdcell,1473
cts__design__instance__area__stdcell,17151.5
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.563685
cts__design__instance__utilization__stdcell,0.563685
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
