Metric,Value
detailedplace__design__instance__displacement__total,18024.3
detailedplace__design__instance__displacement__mean,3.543
detailedplace__design__instance__displacement__max,94.26
detailedplace__route__wirelength__estimated,87259.9
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,12.8862
detailedplace__timing__drv__max_slew_limit,0.92427
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.922411
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.0219505
detailedplace__power__switching__total,0.0199528
detailedplace__power__leakage__total,6.74198e-07
detailedplace__power__total,0.0419039
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,5087
detailedplace__design__instance__area,54644.3
detailedplace__design__instance__count__stdcell,5087
detailedplace__design__instance__area__stdcell,54644.3
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.864686
detailedplace__design__instance__utilization__stdcell,0.864686
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,13.4542
globalplace__power__internal__total,0.0244002
globalplace__power__switching__total,0.0223651
globalplace__power__leakage__total,6.67536e-07
globalplace__power__total,0.046766
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,4736
globalplace__design__instance__area,52804.5
globalplace__design__instance__count__stdcell,4736
globalplace__design__instance__area__stdcell,52804.5
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.835573
globalplace__design__instance__utilization__stdcell,0.835573
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,12.897
placeopt__timing__drv__max_slew_limit,0.92465
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.922713
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.021951
placeopt__power__switching__total,0.0199068
placeopt__power__leakage__total,6.74198e-07
placeopt__power__total,0.0418584
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,5087
placeopt__design__instance__area,54644.3
placeopt__design__instance__count__stdcell,5087
placeopt__design__instance__area__stdcell,54644.3
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.864686
placeopt__design__instance__utilization__stdcell,0.864686
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,86588.2
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,12
globalroute__design__violations,0
globalroute__antenna__violating__nets,2
globalroute__antenna__violating__pins,2
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.8165
globalroute__clock__skew__setup,0.0874568
globalroute__clock__skew__hold,0.0874568
globalroute__timing__drv__max_slew_limit,0.825001
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.718338
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
