Metric,Value
detailedplace__design__instance__displacement__total,6842.4
detailedplace__design__instance__displacement__mean,4.552
detailedplace__design__instance__displacement__max,47.04
detailedplace__route__wirelength__estimated,23210.9
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.9142
detailedplace__timing__drv__max_slew_limit,0.913563
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.927209
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000765153
detailedplace__power__switching__total,1.05513e-05
detailedplace__power__leakage__total,2.97217e-07
detailedplace__power__total,0.000776002
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1503
detailedplace__design__instance__area,26248.9
detailedplace__design__instance__count__stdcell,1503
detailedplace__design__instance__area__stdcell,26248.9
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.862671
detailedplace__design__instance__utilization__stdcell,0.862671
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.0314
globalplace__power__internal__total,0.000761451
globalplace__power__switching__total,9.73002e-06
globalplace__power__leakage__total,2.65887e-07
globalplace__power__total,0.000771447
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1125
globalplace__design__instance__area,23347.7
globalplace__design__instance__count__stdcell,1125
globalplace__design__instance__area__stdcell,23347.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.767323
globalplace__design__instance__utilization__stdcell,0.767323
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.9151
placeopt__timing__drv__max_slew_limit,0.913522
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.927838
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000765155
placeopt__power__switching__total,1.05304e-05
placeopt__power__leakage__total,2.97217e-07
placeopt__power__total,0.000775982
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1503
