Metric,Value
detailedplace__design__instance__displacement__total,22934.6
detailedplace__design__instance__displacement__mean,10.377
detailedplace__design__instance__displacement__max,143.805
detailedplace__route__wirelength__estimated,54478.8
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.6802
detailedplace__timing__drv__max_slew_limit,0.922779
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.921215
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00173896
detailedplace__power__switching__total,0.00119446
detailedplace__power__leakage__total,2.96086e-07
detailedplace__power__total,0.00293372
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,2210
detailedplace__design__instance__area,24450.9
detailedplace__design__instance__count__stdcell,2210
detailedplace__design__instance__area__stdcell,24450.9
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.803578
detailedplace__design__instance__utilization__stdcell,0.803578
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.7474
globalplace__power__internal__total,0.00179803
globalplace__power__switching__total,0.00126435
globalplace__power__leakage__total,2.90713e-07
globalplace__power__total,0.00306267
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,2016
globalplace__design__instance__area,23371.3
globalplace__design__instance__count__stdcell,2016
globalplace__design__instance__area__stdcell,23371.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.768098
globalplace__design__instance__utilization__stdcell,0.768098
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.6826
placeopt__timing__drv__max_slew_limit,0.922807
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.927783
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00173887
placeopt__power__switching__total,0.00118369
placeopt__power__leakage__total,2.96086e-07
placeopt__power__total,0.00292285
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,2210
placeopt__design__instance__area,24450.9
placeopt__design__instance__count__stdcell,2210
placeopt__design__instance__area__stdcell,24450.9
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.803578
placeopt__design__instance__utilization__stdcell,0.803578
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,58320.2
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
