Metric,Value
detailedplace__design__instance__displacement__total,4588.74
detailedplace__design__instance__displacement__mean,4.463
detailedplace__design__instance__displacement__max,16.233
detailedplace__route__wirelength__estimated,21306.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.1672
detailedplace__timing__drv__max_slew_limit,0.91576
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.927013
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000654183
detailedplace__power__switching__total,2.77041e-05
detailedplace__power__leakage__total,2.21696e-07
detailedplace__power__total,0.000682108
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1028
detailedplace__design__instance__area,18479.7
detailedplace__design__instance__count__stdcell,1028
detailedplace__design__instance__area__stdcell,18479.7
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.607335
detailedplace__design__instance__utilization__stdcell,0.607335
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.0367
globalplace__power__internal__total,0.000659351
globalplace__power__switching__total,2.70454e-05
globalplace__power__leakage__total,2.03247e-07
globalplace__power__total,0.0006866
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,935
globalplace__design__instance__area,17496.3
globalplace__design__instance__count__stdcell,935
globalplace__design__instance__area__stdcell,17496.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.575015
globalplace__design__instance__utilization__stdcell,0.575015
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.1633
placeopt__timing__drv__max_slew_limit,0.915854
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.928456
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000654101
placeopt__power__switching__total,2.74673e-05
placeopt__power__leakage__total,2.21696e-07
placeopt__power__total,0.00068179
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1028
placeopt__design__instance__area,18479.7
placeopt__design__instance__count__stdcell,1028
placeopt__design__instance__area__stdcell,18479.7
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.607335
placeopt__design__instance__utilization__stdcell,0.607335
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,21150.4
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,5
globalroute__design__violations,0
globalroute__antenna__violating__nets,1
globalroute__antenna__violating__pins,1
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,15.1227
globalroute__clock__skew__setup,0.0329307
globalroute__clock__skew__hold,0.0329307
globalroute__timing__drv__max_slew_limit,0.874151
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.858695
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000672781
globalroute__power__switching__total,0.000108827
globalroute__power__leakage__total,2.27352e-07
globalroute__power__total,0.000781835
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1066
globalroute__design__instance__area,18797.2
globalroute__design__instance__count__stdcell,1066
globalroute__design__instance__area__stdcell,18797.2
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.61777
globalroute__design__instance__utilization__stdcell,0.61777
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
