Metric,Value
detailedplace__design__instance__displacement__total,15230
detailedplace__design__instance__displacement__mean,2.386
detailedplace__design__instance__displacement__max,9.754
detailedplace__route__wirelength__estimated,201251
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.5573
detailedplace__timing__drv__max_slew_limit,0.913009
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.919785
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00141854
detailedplace__power__switching__total,0.000339337
detailedplace__power__leakage__total,9.30064e-07
detailedplace__power__total,0.00175881
detailedplace__design__io,45
detailedplace__design__die__area,134030
detailedplace__design__core__area,129036
detailedplace__design__instance__count,6382
detailedplace__design__instance__area,72933.4
detailedplace__design__instance__count__stdcell,6382
detailedplace__design__instance__area__stdcell,72933.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.565216
detailedplace__design__instance__utilization__stdcell,0.565216
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.704
globalplace__power__internal__total,0.001409
globalplace__power__switching__total,0.000332305
globalplace__power__leakage__total,8.53875e-07
globalplace__power__total,0.00174216
globalplace__design__io,45
globalplace__design__die__area,134030
globalplace__design__core__area,129036
globalplace__design__instance__count,5646
globalplace__design__instance__area,67250.7
globalplace__design__instance__count__stdcell,5646
globalplace__design__instance__area__stdcell,67250.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.521176
globalplace__design__instance__utilization__stdcell,0.521176
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.5525
placeopt__timing__drv__max_slew_limit,0.911521
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.919984
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00141845
