Metric,Value
detailedplace__design__instance__displacement__total,28496.5
detailedplace__design__instance__displacement__mean,2.661
detailedplace__design__instance__displacement__max,11.77
detailedplace__route__wirelength__estimated,235580
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,15.6742
detailedplace__timing__drv__max_slew_limit,0.902338
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.908535
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00543159
detailedplace__power__switching__total,0.00154575
detailedplace__power__leakage__total,1.61061e-06
detailedplace__power__total,0.00697895
detailedplace__design__io,45
detailedplace__design__die__area,201496
detailedplace__design__core__area,194877
detailedplace__design__instance__count,10707
detailedplace__design__instance__area,136951
detailedplace__design__instance__count__stdcell,10707
detailedplace__design__instance__area__stdcell,136951
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.702754
detailedplace__design__instance__utilization__stdcell,0.702754
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,15.7303
globalplace__power__internal__total,0.00536306
globalplace__power__switching__total,0.00152275
globalplace__power__leakage__total,1.48226e-06
globalplace__power__total,0.00688729
globalplace__design__io,45
globalplace__design__die__area,201496
globalplace__design__core__area,194877
globalplace__design__instance__count,9087
globalplace__design__instance__area,124909
globalplace__design__instance__count__stdcell,9087
globalplace__design__instance__area__stdcell,124909
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.64096
globalplace__design__instance__utilization__stdcell,0.64096
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,15.675
placeopt__timing__drv__max_slew_limit,0.902056
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.908215
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00543124
placeopt__power__switching__total,0.00154358
placeopt__power__leakage__total,1.61061e-06
placeopt__power__total,0.00697643
placeopt__design__io,45
placeopt__design__die__area,201496
placeopt__design__core__area,194877
placeopt__design__instance__count,10707
placeopt__design__instance__area,136951
placeopt__design__instance__count__stdcell,10707
placeopt__design__instance__area__stdcell,136951
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.702754
placeopt__design__instance__utilization__stdcell,0.702754
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,239961
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,84
globalroute__design__violations,0
globalroute__antenna__violating__nets,5
globalroute__antenna__violating__pins,5
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,14.785
globalroute__clock__skew__setup,0.0554155
globalroute__clock__skew__hold,0.0554155
globalroute__timing__drv__max_slew_limit,0.813961
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.660588
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,5
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00579459
globalroute__power__switching__total,0.00254094
globalroute__power__leakage__total,1.67646e-06
globalroute__power__total,0.0083372
globalroute__design__io,45
globalroute__design__die__area,201496
globalroute__design__core__area,194877
globalroute__design__instance__count,11001
globalroute__design__instance__area,140269
globalroute__design__instance__count__stdcell,11001
globalroute__design__instance__area__stdcell,140269
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.719783
globalroute__design__instance__utilization__stdcell,0.719783
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,239961
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,14.7096
cts__clock__skew__setup,0.0461936
cts__clock__skew__hold,0.0461936
cts__timing__drv__max_slew_limit,0.778735
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.908535
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00574722
cts__power__switching__total,0.00195287
cts__power__leakage__total,1.6761e-06
cts__power__total,0.00770177
cts__design__io,45
cts__design__die__area,201496
cts__design__core__area,194877
cts__design__instance__count,10917
cts__design__instance__area,139812
cts__design__instance__count__stdcell,10917
cts__design__instance__area__stdcell,139812
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.717437
cts__design__instance__utilization__stdcell,0.717437
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19988
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__worst__net:VPWR__corner:default,0.00011755
finish__design_powergrid__voltage__worst__net:VGND__corner:default,0.000116225
finish__design_powergrid__drop__average__net:VGND__corner:default,3.13999e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,0.000116225
finish__design__instance__count__class:fill_cell,5664
finish__design__instance__count__class:antenna_cell,84
finish__design__instance__count__class:other,3716
finish__design__instance__count__class:buffer,672
finish__design__instance__count__class:clock_buffer,209
finish__design__instance__count__class:timing_repair_buffer,409
finish__design__instance__count__class:inverter,967
finish__design__instance__count__class:clock_inverter,1
finish__design__instance__count__class:sequential_cell,1206
finish__design__instance__count__class:multi_input_combinational_cell,7453
finish__timing__setup__tns,0
finish__timing__setup__ws,14.6163
finish__clock__skew__setup,0.0742498
finish__clock__skew__hold,0.0742498
finish__timing__drv__max_slew_limit,0.764111
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.682722
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,5
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.00580742
finish__power__switching__total,0.00294803
finish__power__leakage__total,4.06841e-06
finish__power__total,0.00875951
finish__design__io,45
finish__design__die__area,201496
finish__design__core__area,194877
finish__design__instance__count,14717
finish__design__instance__area,179921
finish__design__instance__count__stdcell,14717
finish__design__instance__area__stdcell,179921
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.923254
finish__design__instance__utilization__stdcell,0.923254
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,12132
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,6666
detailedroute__route__wirelength__iter:1,280426
detailedroute__route__drc_errors__iter:2,3356
detailedroute__route__wirelength__iter:2,278953
detailedroute__route__drc_errors__iter:3,3078
detailedroute__route__wirelength__iter:3,278254
detailedroute__route__drc_errors__iter:4,437
detailedroute__route__wirelength__iter:4,276870
detailedroute__route__drc_errors__iter:5,52
detailedroute__route__wirelength__iter:5,276790
detailedroute__route__drc_errors__iter:6,24
detailedroute__route__wirelength__iter:6,276755
detailedroute__route__drc_errors__iter:7,2
detailedroute__route__wirelength__iter:7,276779
detailedroute__route__drc_errors__iter:8,1
detailedroute__route__wirelength__iter:8,276780
detailedroute__route__drc_errors__iter:9,1
detailedroute__route__wirelength__iter:9,276780
detailedroute__route__drc_errors__iter:10,1
detailedroute__route__wirelength__iter:10,276780
detailedroute__route__drc_errors__iter:11,0
detailedroute__route__wirelength__iter:11,276773
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,276773
detailedroute__route__vias,63069
detailedroute__route__vias__singlecut,63069
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,4
detailedroute__antenna__violating__pins,4
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,15.7388
floorplan__power__internal__total,0.0053555
floorplan__power__switching__total,0.00143097
floorplan__power__leakage__total,1.48226e-06
floorplan__power__total,0.00678795
floorplan__design__io,43
floorplan__design__die__area,201496
floorplan__design__core__area,194877
floorplan__design__instance__count,9087
floorplan__design__instance__area,124909
floorplan__design__instance__count__stdcell,9087
floorplan__design__instance__area__stdcell,124909
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.64096
floorplan__design__instance__utilization__stdcell,0.64096
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
