Metric,Value
detailedplace__design__instance__displacement__total,8139.56
detailedplace__design__instance__displacement__mean,3.221
detailedplace__design__instance__displacement__max,11.954
detailedplace__route__wirelength__estimated,64576.5
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.6208
detailedplace__timing__drv__max_slew_limit,0.915804
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.915686
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000700482
detailedplace__power__switching__total,0.000255041
detailedplace__power__leakage__total,3.68135e-07
detailedplace__power__total,0.000955891
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,2527
detailedplace__design__instance__area,29384.2
detailedplace__design__instance__count__stdcell,2527
detailedplace__design__instance__area__stdcell,29384.2
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.464973
detailedplace__design__instance__utilization__stdcell,0.464973
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.6864
globalplace__power__internal__total,0.000676733
globalplace__power__switching__total,0.000243807
globalplace__power__leakage__total,3.38537e-07
globalplace__power__total,0.000920878
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,2233
globalplace__design__instance__area,27081.7
globalplace__design__instance__count__stdcell,2233
globalplace__design__instance__area__stdcell,27081.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.428539
globalplace__design__instance__utilization__stdcell,0.428539
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.6208
placeopt__timing__drv__max_slew_limit,0.916252
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.915219
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000700424
placeopt__power__switching__total,0.000254321
placeopt__power__leakage__total,3.68135e-07
placeopt__power__total,0.000955113
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,2527
placeopt__design__instance__area,29384.2
placeopt__design__instance__count__stdcell,2527
placeopt__design__instance__area__stdcell,29384.2
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.464973
placeopt__design__instance__utilization__stdcell,0.464973
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,63133.3
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,18
globalroute__design__violations,0
globalroute__antenna__violating__nets,3
globalroute__antenna__violating__pins,3
