Metric,Value
detailedplace__design__instance__displacement__total,8589.61
detailedplace__design__instance__displacement__mean,3.31
detailedplace__design__instance__displacement__max,13.421
detailedplace__route__wirelength__estimated,59295
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.0058
detailedplace__timing__drv__max_slew_limit,0.922307
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.92692
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,3.62709e-05
detailedplace__power__switching__total,8.68403e-06
detailedplace__power__leakage__total,4.09573e-07
detailedplace__power__total,4.53645e-05
detailedplace__design__io,45
detailedplace__design__die__area,66563.1
detailedplace__design__core__area,63195.6
detailedplace__design__instance__count,2595
detailedplace__design__instance__area,30679.7
detailedplace__design__instance__count__stdcell,2595
detailedplace__design__instance__area__stdcell,30679.7
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.485472
detailedplace__design__instance__utilization__stdcell,0.485472
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,10.2927
globalplace__power__internal__total,3.73158e-05
globalplace__power__switching__total,7.39277e-06
globalplace__power__leakage__total,3.56285e-07
globalplace__power__total,4.50648e-05
globalplace__design__io,45
globalplace__design__die__area,66563.1
globalplace__design__core__area,63195.6
globalplace__design__instance__count,2051
globalplace__design__instance__area,26472.1
globalplace__design__instance__count__stdcell,2051
globalplace__design__instance__area__stdcell,26472.1
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.418892
globalplace__design__instance__utilization__stdcell,0.418892
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.0029
placeopt__timing__drv__max_slew_limit,0.923243
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.927769
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,3.09351e-05
placeopt__power__switching__total,8.34487e-06
placeopt__power__leakage__total,4.10094e-07
placeopt__power__total,3.969e-05
placeopt__design__io,45
placeopt__design__die__area,66563.1
placeopt__design__core__area,63195.6
placeopt__design__instance__count,2595
placeopt__design__instance__area,30679.7
placeopt__design__instance__count__stdcell,2595
placeopt__design__instance__area__stdcell,30679.7
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.485472
placeopt__design__instance__utilization__stdcell,0.485472
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,55084.7
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,9.65517
globalroute__clock__skew__setup,0
globalroute__clock__skew__hold,0
globalroute__timing__drv__max_slew_limit,0.850073
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.835484
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,3.62999e-05
globalroute__power__switching__total,1.55121e-05
globalroute__power__leakage__total,4.09573e-07
globalroute__power__total,5.22216e-05
globalroute__design__io,45
globalroute__design__die__area,66563.1
globalroute__design__core__area,63195.6
globalroute__design__instance__count,2595
globalroute__design__instance__area,30679.7
globalroute__design__instance__count__stdcell,2595
globalroute__design__instance__area__stdcell,30679.7
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.485472
globalroute__design__instance__utilization__stdcell,0.485472
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,55084.7
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,10.0052
cts__clock__skew__setup,0
cts__clock__skew__hold,0
cts__timing__drv__max_slew_limit,0.922307
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.927004
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,3.62709e-05
cts__power__switching__total,8.69353e-06
cts__power__leakage__total,4.09573e-07
cts__power__total,4.5374e-05
cts__design__io,45
cts__design__die__area,66563.1
cts__design__core__area,63195.6
cts__design__instance__count,2595
cts__design__instance__area,30679.7
cts__design__instance__count__stdcell,2595
cts__design__instance__area__stdcell,30679.7
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.485472
cts__design__instance__utilization__stdcell,0.485472
cts__flow__warnings__count,3
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.2
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.2
finish__design_powergrid__drop__worst__net:VPWR__corner:default,1.83489e-06
finish__design_powergrid__voltage__worst__net:VGND__corner:default,1.96714e-06
finish__design_powergrid__drop__average__net:VGND__corner:default,5.77419e-07
finish__design_powergrid__drop__worst__net:VGND__corner:default,1.96714e-06
finish__design__instance__count__class:fill_cell,1443
finish__design__instance__count__class:other,2427
finish__design__instance__count__class:buffer,349
finish__design__instance__count__class:timing_repair_buffer,188
finish__design__instance__count__class:inverter,27
finish__design__instance__count__class:sequential_cell,340
finish__design__instance__count__class:multi_input_combinational_cell,1691
finish__timing__setup__tns,0
finish__timing__setup__ws,9.5418
finish__clock__skew__setup,0
finish__clock__skew__hold,0
finish__timing__drv__max_slew_limit,0.846734
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.827706
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,0
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,3.62912e-05
finish__power__switching__total,1.6586e-05
finish__power__leakage__total,2.17511e-06
finish__power__total,5.50522e-05
finish__design__io,45
finish__design__die__area,66563.1
finish__design__core__area,63195.6
finish__design__instance__count,5022
finish__design__instance__area,59376.2
finish__design__instance__count__stdcell,5022
finish__design__instance__area__stdcell,59376.2
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.939564
finish__design__instance__utilization__stdcell,0.939564
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,2614
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,969
detailedroute__route__wirelength__iter:1,63065
detailedroute__route__drc_errors__iter:2,470
detailedroute__route__wirelength__iter:2,62753
detailedroute__route__drc_errors__iter:3,434
detailedroute__route__wirelength__iter:3,62588
detailedroute__route__drc_errors__iter:4,59
detailedroute__route__wirelength__iter:4,62405
detailedroute__route__drc_errors__iter:5,11
detailedroute__route__wirelength__iter:5,62387
detailedroute__route__drc_errors__iter:6,0
detailedroute__route__wirelength__iter:6,62386
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,62386
detailedroute__route__vias,13892
detailedroute__route__vias__singlecut,13892
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,10.3328
floorplan__power__internal__total,3.67205e-05
floorplan__power__switching__total,6.7426e-06
floorplan__power__leakage__total,3.56291e-07
floorplan__power__total,4.38194e-05
floorplan__design__io,43
floorplan__design__die__area,66563.1
floorplan__design__core__area,63195.6
floorplan__design__instance__count,2051
floorplan__design__instance__area,26472.1
floorplan__design__instance__count__stdcell,2051
floorplan__design__instance__area__stdcell,26472.1
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.418892
floorplan__design__instance__utilization__stdcell,0.418892
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
