Metric,Value
detailedplace__design__instance__displacement__total,28679.3
detailedplace__design__instance__displacement__mean,7.351
detailedplace__design__instance__displacement__max,161.792
detailedplace__route__wirelength__estimated,26592.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,-182.601
detailedplace__timing__setup__ws,-77.9825
detailedplace__timing__drv__max_slew_limit,0.975762
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.991586
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,4
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,5.09872e-05
detailedplace__power__switching__total,8.11643e-05
detailedplace__power__leakage__total,4.91659e-07
detailedplace__power__total,0.000132643
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,3901
detailedplace__design__instance__area,28360.9
detailedplace__design__instance__count__stdcell,3901
detailedplace__design__instance__area__stdcell,28360.9
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.932081
detailedplace__design__instance__utilization__stdcell,0.932081
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,-181.284
globalplace__timing__setup__ws,-77.552
globalplace__power__internal__total,5.04713e-05
globalplace__power__switching__total,8.02883e-05
globalplace__power__leakage__total,4.89312e-07
globalplace__power__total,0.000131249
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,3878
globalplace__design__instance__area,28186.7
globalplace__design__instance__count__stdcell,3878
globalplace__design__instance__area__stdcell,28186.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.926357
globalplace__design__instance__utilization__stdcell,0.926357
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,-181.912
placeopt__timing__setup__ws,-77.7034
placeopt__timing__drv__max_slew_limit,0.975766
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.991638
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,4
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,5.09695e-05
placeopt__power__switching__total,8.0578e-05
placeopt__power__leakage__total,4.91659e-07
placeopt__power__total,0.000132039
placeopt__design__io,45
placeopt__design__die__area,32880.6
