Metric,Value
detailedplace__design__instance__displacement__total,39138.1
detailedplace__design__instance__displacement__mean,2.618
detailedplace__design__instance__displacement__max,11.363
detailedplace__route__wirelength__estimated,666407
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,10.5186
detailedplace__timing__drv__max_slew_limit,0.907273
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.914709
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,1
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.0032785
detailedplace__power__switching__total,0.00178124
detailedplace__power__leakage__total,2.09275e-06
detailedplace__power__total,0.00506184
detailedplace__design__io,45
detailedplace__design__die__area,268963
detailedplace__design__core__area,260718
detailedplace__design__instance__count,14946
detailedplace__design__instance__area,161563
detailedplace__design__instance__count__stdcell,14946
detailedplace__design__instance__area__stdcell,161563
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.619685
detailedplace__design__instance__utilization__stdcell,0.619685
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,10.4747
globalplace__power__internal__total,0.00311997
globalplace__power__switching__total,0.0017264
globalplace__power__leakage__total,1.85591e-06
globalplace__power__total,0.00484823
globalplace__design__io,45
globalplace__design__die__area,268963
globalplace__design__core__area,260718
globalplace__design__instance__count,13400
globalplace__design__instance__area,148028
globalplace__design__instance__count__stdcell,13400
globalplace__design__instance__area__stdcell,148028
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.567769
globalplace__design__instance__utilization__stdcell,0.567769
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,10.5158
placeopt__timing__drv__max_slew_limit,0.907499
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.914885
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,1
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00327828
placeopt__power__switching__total,0.00178076
placeopt__power__leakage__total,2.09275e-06
placeopt__power__total,0.00506113
placeopt__design__io,45
placeopt__design__die__area,268963
placeopt__design__core__area,260718
placeopt__design__instance__count,14946
placeopt__design__instance__area,161563
placeopt__design__instance__count__stdcell,14946
placeopt__design__instance__area__stdcell,161563
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.619685
placeopt__design__instance__utilization__stdcell,0.619685
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,645654
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,2678
globalroute__design__violations,0
globalroute__antenna__violating__nets,61
globalroute__antenna__violating__pins,88
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,9.80461
globalroute__clock__skew__setup,0.136461
globalroute__clock__skew__hold,0.136461
globalroute__timing__drv__max_slew_limit,0.668552
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.502215
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,73
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00373575
globalroute__power__switching__total,0.00268784
globalroute__power__leakage__total,2.19435e-06
globalroute__power__total,0.00642578
globalroute__design__io,45
globalroute__design__die__area,268963
globalroute__design__core__area,260718
globalroute__design__instance__count,17774
globalroute__design__instance__area,179317
globalroute__design__instance__count__stdcell,17774
globalroute__design__instance__area__stdcell,179317
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.687781
globalroute__design__instance__utilization__stdcell,0.687781
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,645644
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,10.5173
cts__clock__skew__setup,0.14575
cts__clock__skew__hold,0.14575
cts__timing__drv__max_slew_limit,0.907273
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.914709
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00373032
cts__power__switching__total,0.00200927
cts__power__leakage__total,2.18267e-06
cts__power__total,0.00574178
cts__design__io,45
cts__design__die__area,268963
cts__design__core__area,260718
cts__design__instance__count,15095
cts__design__instance__area,164733
cts__design__instance__count__stdcell,15095
cts__design__instance__area__stdcell,164733
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.631843
cts__design__instance__utilization__stdcell,0.631843
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19995
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,5.13912e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,5.6205e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.94871e-05
