Metric,Value
detailedplace__design__instance__displacement__total,7566.71
detailedplace__design__instance__displacement__mean,3.955
detailedplace__design__instance__displacement__max,26.8
detailedplace__route__wirelength__estimated,38459
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.6103
detailedplace__timing__drv__max_slew_limit,0.895839
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.905763
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000617632
detailedplace__power__switching__total,7.62746e-05
detailedplace__power__leakage__total,2.93556e-07
detailedplace__power__total,0.0006942
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1913
detailedplace__design__instance__area,25457.8
detailedplace__design__instance__count__stdcell,1913
detailedplace__design__instance__area__stdcell,25457.8
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.836673
detailedplace__design__instance__utilization__stdcell,0.836673
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.5321
globalplace__power__internal__total,0.000615963
globalplace__power__switching__total,7.46849e-05
globalplace__power__leakage__total,2.63012e-07
globalplace__power__total,0.000690911
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1623
globalplace__design__instance__area,23021.1
globalplace__design__instance__count__stdcell,1623
globalplace__design__instance__area__stdcell,23021.1
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.756589
globalplace__design__instance__utilization__stdcell,0.756589
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.6144
placeopt__timing__drv__max_slew_limit,0.896698
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.90666
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000617613
placeopt__power__switching__total,7.60374e-05
placeopt__power__leakage__total,2.93556e-07
placeopt__power__total,0.000693944
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1913
placeopt__design__instance__area,25457.8
placeopt__design__instance__count__stdcell,1913
placeopt__design__instance__area__stdcell,25457.8
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.836673
placeopt__design__instance__utilization__stdcell,0.836673
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,38592.8
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,15.0472
globalroute__clock__skew__setup,0.0360153
globalroute__clock__skew__hold,0.0360153
globalroute__timing__drv__max_slew_limit,0.86282
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.720186
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000640699
globalroute__power__switching__total,0.000170207
globalroute__power__leakage__total,3.00291e-07
globalroute__power__total,0.000811206
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1965
globalroute__design__instance__area,25858.8
globalroute__design__instance__count__stdcell,1965
globalroute__design__instance__area__stdcell,25858.8
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.849851
globalroute__design__instance__utilization__stdcell,0.849851
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,38592.8
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,15.006
cts__clock__skew__setup,0.0131928
cts__clock__skew__hold,0.0131928
cts__timing__drv__max_slew_limit,0.826691
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.644801
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000641834
cts__power__switching__total,0.000141372
cts__power__leakage__total,3.00291e-07
cts__power__total,0.000783506
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1965
cts__design__instance__area,25858.8
cts__design__instance__count__stdcell,1965
cts__design__instance__area__stdcell,25858.8
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.849851
cts__design__instance__utilization__stdcell,0.849851
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19997
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__worst__net:VPWR__corner:default,3.18471e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,3.09751e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.83508e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,3.09751e-05
finish__design__instance__count__class:fill_cell,779
finish__design__instance__count__class:other,237
finish__design__instance__count__class:buffer,159
finish__design__instance__count__class:clock_buffer,49
finish__design__instance__count__class:timing_repair_buffer,87
finish__design__instance__count__class:inverter,61
finish__design__instance__count__class:clock_inverter,3
finish__design__instance__count__class:sequential_cell,195
finish__design__instance__count__class:multi_input_combinational_cell,1411
finish__timing__setup__tns,0
finish__timing__setup__ws,14.9026
finish__clock__skew__setup,0.0416988
finish__clock__skew__hold,0.0416988
finish__timing__drv__max_slew_limit,0.805204
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.601097
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000641705
finish__power__switching__total,0.000200237
finish__power__leakage__total,4.56156e-07
finish__power__total,0.000842399
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2202
finish__design__instance__area,28433.5
finish__design__instance__count__stdcell,2202
finish__design__instance__area__stdcell,28433.5
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.934466
finish__design__instance__utilization__stdcell,0.934466
