Metric,Value
detailedplace__design__instance__displacement__total,91747.8
detailedplace__design__instance__displacement__mean,4.648
detailedplace__design__instance__displacement__max,16.423
detailedplace__route__wirelength__estimated,792649
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,14.2259
detailedplace__timing__drv__max_slew_limit,0.906849
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.918983
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00809927
detailedplace__power__switching__total,0.000617646
detailedplace__power__leakage__total,3.3104e-06
detailedplace__power__total,0.00872023
detailedplace__design__io,45
detailedplace__design__die__area,403896
detailedplace__design__core__area,392400
detailedplace__design__instance__count,19735
detailedplace__design__instance__area,296409
detailedplace__design__instance__count__stdcell,19735
detailedplace__design__instance__area__stdcell,296409
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.755375
detailedplace__design__instance__utilization__stdcell,0.755375
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,14.2323
globalplace__power__internal__total,0.00795515
globalplace__power__switching__total,0.000568204
globalplace__power__leakage__total,2.88075e-06
globalplace__power__total,0.00852623
globalplace__design__io,45
globalplace__design__die__area,403896
globalplace__design__core__area,392400
globalplace__design__instance__count,15705
globalplace__design__instance__area,264168
globalplace__design__instance__count__stdcell,15705
globalplace__design__instance__area__stdcell,264168
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.673209
globalplace__design__instance__utilization__stdcell,0.673209
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,14.229
placeopt__timing__drv__max_slew_limit,0.907364
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.919266
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.0080992
placeopt__power__switching__total,0.000618052
placeopt__power__leakage__total,3.3104e-06
placeopt__power__total,0.00872056
placeopt__design__io,45
placeopt__design__die__area,403896
placeopt__design__core__area,392400
placeopt__design__instance__count,19735
placeopt__design__instance__area,296409
placeopt__design__instance__count__stdcell,19735
placeopt__design__instance__area__stdcell,296409
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.755375
placeopt__design__instance__utilization__stdcell,0.755375
