Metric,Value
detailedplace__design__instance__displacement__total,75018.4
detailedplace__design__instance__displacement__mean,4.02
detailedplace__design__instance__displacement__max,15.387
detailedplace__route__wirelength__estimated,774003
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.86377
detailedplace__timing__drv__max_slew_limit,0.907129
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.92659
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00678181
detailedplace__power__switching__total,0.000255266
detailedplace__power__leakage__total,3.31186e-06
detailedplace__power__total,0.00704039
detailedplace__design__io,45
detailedplace__design__die__area,403896
detailedplace__design__core__area,392400
detailedplace__design__instance__count,18657
detailedplace__design__instance__area,283524
detailedplace__design__instance__count__stdcell,18657
detailedplace__design__instance__area__stdcell,283524
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.722537
detailedplace__design__instance__utilization__stdcell,0.722537
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.92888
globalplace__power__internal__total,0.00673352
globalplace__power__switching__total,0.000238512
globalplace__power__leakage__total,2.92136e-06
globalplace__power__total,0.00697495
globalplace__design__io,45
globalplace__design__die__area,403896
globalplace__design__core__area,392400
globalplace__design__instance__count,15040
globalplace__design__instance__area,253811
globalplace__design__instance__count__stdcell,15040
globalplace__design__instance__area__stdcell,253811
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.646816
globalplace__design__instance__utilization__stdcell,0.646816
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.86116
placeopt__timing__drv__max_slew_limit,0.906809
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.926714
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00678173
placeopt__power__switching__total,0.000255274
placeopt__power__leakage__total,3.31186e-06
placeopt__power__total,0.00704032
placeopt__design__io,45
placeopt__design__die__area,403896
placeopt__design__core__area,392400
placeopt__design__instance__count,18657
placeopt__design__instance__area,283524
placeopt__design__instance__count__stdcell,18657
placeopt__design__instance__area__stdcell,283524
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.722537
placeopt__design__instance__utilization__stdcell,0.722537
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,778063
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,2824
globalroute__design__violations,0
globalroute__antenna__violating__nets,98
globalroute__antenna__violating__pins,120
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,5.3201
globalroute__clock__skew__setup,0.0372039
globalroute__clock__skew__hold,0.0372039
globalroute__timing__drv__max_slew_limit,0.601843
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.498631
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,106
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00806023
globalroute__power__switching__total,0.00147375
globalroute__power__leakage__total,3.57612e-06
globalroute__power__total,0.00953756
globalroute__design__io,45
globalroute__design__die__area,403896
globalroute__design__core__area,392400
globalroute__design__instance__count,21882
globalroute__design__instance__area,307691
globalroute__design__instance__count__stdcell,21882
globalroute__design__instance__area__stdcell,307691
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.784126
globalroute__design__instance__utilization__stdcell,0.784126
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,778063
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,5.24771
cts__clock__skew__setup,0.0472215
cts__clock__skew__hold,0.0472215
cts__timing__drv__max_slew_limit,0.899623
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.92654
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.00804981
cts__power__switching__total,0.00120811
