Metric,Value
detailedplace__design__instance__displacement__total,3344.22
detailedplace__design__instance__displacement__mean,2.548
detailedplace__design__instance__displacement__max,10.165
detailedplace__route__wirelength__estimated,21121.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.5076
detailedplace__timing__drv__max_slew_limit,0.891029
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.921903
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000409614
detailedplace__power__switching__total,2.78052e-05
detailedplace__power__leakage__total,2.03214e-07
detailedplace__power__total,0.000437623
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1312
detailedplace__design__instance__area,17708.5
detailedplace__design__instance__count__stdcell,1312
detailedplace__design__instance__area__stdcell,17708.5
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.581992
detailedplace__design__instance__utilization__stdcell,0.581992
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.5984
globalplace__power__internal__total,0.000409589
globalplace__power__switching__total,2.73514e-05
globalplace__power__leakage__total,1.87558e-07
globalplace__power__total,0.000437128
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1106
globalplace__design__instance__area,16171.7
globalplace__design__instance__count__stdcell,1106
globalplace__design__instance__area__stdcell,16171.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.531485
globalplace__design__instance__utilization__stdcell,0.531485
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.5103
placeopt__timing__drv__max_slew_limit,0.891435
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.922233
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000409618
placeopt__power__switching__total,2.77853e-05
placeopt__power__leakage__total,2.03214e-07
placeopt__power__total,0.000437606
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1312
placeopt__design__instance__area,17708.5
placeopt__design__instance__count__stdcell,1312
placeopt__design__instance__area__stdcell,17708.5
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.581992
placeopt__design__instance__utilization__stdcell,0.581992
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,21758.8
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.4888
globalroute__clock__skew__setup,0.0333059
globalroute__clock__skew__hold,0.0333059
globalroute__timing__drv__max_slew_limit,0.86251
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.719545
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.00043889
globalroute__power__switching__total,9.85471e-05
globalroute__power__leakage__total,2.10641e-07
globalroute__power__total,0.000537648
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1375
globalroute__design__instance__area,18169.4
globalroute__design__instance__count__stdcell,1375
globalroute__design__instance__area__stdcell,18169.4
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.597138
globalroute__design__instance__utilization__stdcell,0.597138
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,21758.8
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.5073
cts__clock__skew__setup,0.0099456
cts__clock__skew__hold,0.0099456
cts__timing__drv__max_slew_limit,0.837756
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.667868
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000440023
cts__power__switching__total,8.32631e-05
cts__power__leakage__total,2.10641e-07
cts__power__total,0.000523497
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1375
cts__design__instance__area,18169.4
cts__design__instance__count__stdcell,1375
cts__design__instance__area__stdcell,18169.4
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.597138
cts__design__instance__utilization__stdcell,0.597138
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19998
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,2.22461e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,2.83089e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,1.15803e-05
finish__design_powergrid__drop__worst__net:VGND__corner:default,2.83089e-05
finish__design__instance__count__class:fill_cell,711
finish__design__instance__count__class:other,919
finish__design__instance__count__class:buffer,114
finish__design__instance__count__class:clock_buffer,49
finish__design__instance__count__class:timing_repair_buffer,46
finish__design__instance__count__class:inverter,45
finish__design__instance__count__class:clock_inverter,14
finish__design__instance__count__class:sequential_cell,146
finish__design__instance__count__class:multi_input_combinational_cell,961
finish__timing__setup__tns,0
finish__timing__setup__ws,11.4322
finish__clock__skew__setup,0.0287146
finish__clock__skew__hold,0.0287146
finish__timing__drv__max_slew_limit,0.842457
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.677247
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000439001
finish__power__switching__total,0.000107208
finish__power__leakage__total,8.44784e-07
finish__power__total,0.000547054
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2294
finish__design__instance__area,28562.3
finish__design__instance__count__stdcell,2294
finish__design__instance__area__stdcell,28562.3
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.9387
finish__design__instance__utilization__stdcell,0.9387
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,1526
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,654
detailedroute__route__wirelength__iter:1,25439
detailedroute__route__drc_errors__iter:2,318
detailedroute__route__wirelength__iter:2,25302
detailedroute__route__drc_errors__iter:3,315
detailedroute__route__wirelength__iter:3,25303
detailedroute__route__drc_errors__iter:4,53
detailedroute__route__wirelength__iter:4,25111
detailedroute__route__drc_errors__iter:5,12
detailedroute__route__wirelength__iter:5,25101
detailedroute__route__drc_errors__iter:6,0
detailedroute__route__wirelength__iter:6,25083
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,25083
detailedroute__route__vias,7589
detailedroute__route__vias__singlecut,7589
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,11.6044
floorplan__power__internal__total,0.000409454
floorplan__power__switching__total,2.60779e-05
floorplan__power__leakage__total,1.87558e-07
floorplan__power__total,0.00043572
floorplan__design__io,43
floorplan__design__die__area,32880.6
floorplan__design__core__area,30427.5
floorplan__design__instance__count,1106
floorplan__design__instance__area,16171.7
floorplan__design__instance__count__stdcell,1106
floorplan__design__instance__area__stdcell,16171.7
floorplan__design__instance__count__macros,0
floorplan__design__instance__area__macros,0
floorplan__design__instance__utilization,0.531485
floorplan__design__instance__utilization__stdcell,0.531485
floorplan__flow__warnings__count,46
floorplan__flow__errors__count,0
