Metric,Value
detailedplace__design__instance__displacement__total,4594.7
detailedplace__design__instance__displacement__mean,2.472
detailedplace__design__instance__displacement__max,8.421
detailedplace__route__wirelength__estimated,44535.3
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.3589
detailedplace__timing__drv__max_slew_limit,0.896291
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.905156
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000154729
detailedplace__power__switching__total,8.20959e-05
detailedplace__power__leakage__total,2.26893e-07
detailedplace__power__total,0.000237052
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,1858
detailedplace__design__instance__area,16957.4
detailedplace__design__instance__count__stdcell,1858
detailedplace__design__instance__area__stdcell,16957.4
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.557305
detailedplace__design__instance__utilization__stdcell,0.557305
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.4135
globalplace__power__internal__total,0.000151412
globalplace__power__switching__total,8.08063e-05
globalplace__power__leakage__total,2.18354e-07
globalplace__power__total,0.000232436
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,1722
globalplace__design__instance__area,16137.3
globalplace__design__instance__count__stdcell,1722
globalplace__design__instance__area__stdcell,16137.3
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.530352
globalplace__design__instance__utilization__stdcell,0.530352
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.3585
placeopt__timing__drv__max_slew_limit,0.897126
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.906019
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00015473
placeopt__power__switching__total,8.23674e-05
placeopt__power__leakage__total,2.26893e-07
placeopt__power__total,0.000237324
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,1858
placeopt__design__instance__area,16957.4
placeopt__design__instance__count__stdcell,1858
placeopt__design__instance__area__stdcell,16957.4
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.557305
placeopt__design__instance__utilization__stdcell,0.557305
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,40863.5
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,10.7408
globalroute__clock__skew__setup,0.0260171
globalroute__clock__skew__hold,0.0260171
globalroute__timing__drv__max_slew_limit,0.878775
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.867781
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,0
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000155601
globalroute__power__switching__total,0.000125462
globalroute__power__leakage__total,2.27444e-07
globalroute__power__total,0.00028129
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,1863
globalroute__design__instance__area,16993.7
globalroute__design__instance__count__stdcell,1863
globalroute__design__instance__area__stdcell,16993.7
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.558497
globalroute__design__instance__utilization__stdcell,0.558497
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,40863.5
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.3578
cts__clock__skew__setup,0.00257996
cts__clock__skew__hold,0.00257996
cts__timing__drv__max_slew_limit,0.896298
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.905163
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,0
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000155669
cts__power__switching__total,9.00158e-05
cts__power__leakage__total,2.27444e-07
cts__power__total,0.000245912
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,1863
cts__design__instance__area,16993.7
cts__design__instance__count__stdcell,1863
cts__design__instance__area__stdcell,16993.7
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.558497
cts__design__instance__utilization__stdcell,0.558497
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,1.14825e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,1.25216e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,6.8903e-06
finish__design_powergrid__drop__worst__net:VGND__corner:default,1.25216e-05
finish__design__instance__count__class:fill_cell,885
finish__design__instance__count__class:other,977
finish__design__instance__count__class:buffer,105
finish__design__instance__count__class:clock_buffer,5
finish__design__instance__count__class:timing_repair_buffer,84
finish__design__instance__count__class:inverter,167
finish__design__instance__count__class:sequential_cell,38
finish__design__instance__count__class:multi_input_combinational_cell,1464
finish__timing__setup__tns,0
finish__timing__setup__ws,10.2596
finish__clock__skew__setup,0.026463
finish__clock__skew__hold,0.026463
finish__timing__drv__max_slew_limit,0.854521
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.822349
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,0
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000155696
finish__power__switching__total,0.000157612
finish__power__leakage__total,9.05895e-07
finish__power__total,0.000314214
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2840
finish__design__instance__area,28101.4
finish__design__instance__count__stdcell,2840
finish__design__instance__area__stdcell,28101.4
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.923554
finish__design__instance__utilization__stdcell,0.923554
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,1920
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,2009
detailedroute__route__wirelength__iter:1,48661
detailedroute__route__drc_errors__iter:2,1112
detailedroute__route__wirelength__iter:2,48292
detailedroute__route__drc_errors__iter:3,1024
detailedroute__route__wirelength__iter:3,48081
detailedroute__route__drc_errors__iter:4,279
detailedroute__route__wirelength__iter:4,47631
detailedroute__route__drc_errors__iter:5,67
detailedroute__route__wirelength__iter:5,47597
detailedroute__route__drc_errors__iter:6,1
detailedroute__route__wirelength__iter:6,47589
detailedroute__route__drc_errors__iter:7,0
detailedroute__route__wirelength__iter:7,47591
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,47591
detailedroute__route__vias,11683
detailedroute__route__vias__singlecut,11683
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,11.4358
floorplan__power__internal__total,0.000151344
floorplan__power__switching__total,7.45881e-05
floorplan__power__leakage__total,2.18354e-07
floorplan__power__total,0.00022615
floorplan__design__io,43
floorplan__design__die__area,32880.6
floorplan__design__core__area,30427.5
