Metric,Value
detailedplace__design__instance__displacement__total,2333.8
detailedplace__design__instance__displacement__mean,2.616
detailedplace__design__instance__displacement__max,9.659
detailedplace__route__wirelength__estimated,15222.1
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.4657
detailedplace__timing__drv__max_slew_limit,0.926049
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.929851
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000302474
detailedplace__power__switching__total,4.49153e-06
detailedplace__power__leakage__total,1.40039e-07
detailedplace__power__total,0.000307105
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,892
detailedplace__design__instance__area,12301.6
detailedplace__design__instance__count__stdcell,892
detailedplace__design__instance__area__stdcell,12301.6
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.404293
detailedplace__design__instance__utilization__stdcell,0.404293
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.5115
globalplace__power__internal__total,0.000301581
globalplace__power__switching__total,4.23633e-06
globalplace__power__leakage__total,1.26321e-07
globalplace__power__total,0.000305944
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,723
globalplace__design__instance__area,11049.7
globalplace__design__instance__count__stdcell,723
globalplace__design__instance__area__stdcell,11049.7
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.363148
globalplace__design__instance__utilization__stdcell,0.363148
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.4664
placeopt__timing__drv__max_slew_limit,0.925753
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.92967
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000302474
placeopt__power__switching__total,4.48541e-06
